카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,53167,0.6
자연관광,자연공원,113938,1.4
자연관광,자연경관(하천/해양),123970,1.5
자연관광,자연경관(산),141032,1.7
역사관광,종교성지,118964,1.5
역사관광,역사유적지,144140,1.8
역사관광,역사유물,793,0.0
체험관광,공예체험,95,0.0
체험관광,농/산/어촌체험,12896,0.2
체험관광,웰니스관광,67172,0.8
문화관광,공연시설,173139,2.1
문화관광,테마공원,90156,1.1
문화관광,전시시설,74113,0.9
문화관광,복합관광시설,60815,0.7
문화관광,레저스포츠시설,41608,0.5
문화관광,랜드마크관광,146895,1.8
문화관광,기타문화관광지,24770,0.3
문화관광,도시/지역문화관광,1331,0.0
문화관광,도시공원,231688,2.8
레저스포츠,육상레저스포츠,859292,10.5
레저스포츠,기타레저스포츠,62419,0.8
레저스포츠,항공레저스포츠,6202,0.1
레저스포츠,수상레저스포츠,47268,0.6
쇼핑,시장,264937,3.2
쇼핑,기타쇼핑시설,5428,0.1
쇼핑,쇼핑몰,127574,1.6
쇼핑,백화점,143547,1.8
음식,외국식,182538,2.2
음식,음식점기타,8079,0.1
음식,전문음식,382633,4.7
음식,한식,1159883,14.2
음식,카페/찻집,446916,5.5
음식,간이음식,244402,3.0
숙박,호스텔,14925,0.2
숙박,호텔,181935,2.2
숙박,펜션/민박,133183,1.6
숙박,콘도미니엄,190770,2.3
숙박,캠핑,105901,1.3
숙박,기타숙박,2959,0.0
숙박,모텔,168713,2.1
기타관광,교통시설,1481463,18.1
기타관광,기타관광,347180,4.2
기타관광,데이트코스,173,0.0
