기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
괴산군,기타관광,408729,2.9,74632,18.3
괴산군,레저스포츠,408729,2.9,6596,1.6
괴산군,문화관광,408729,2.9,20638,5.0
괴산군,쇼핑,408729,2.9,12881,3.2
괴산군,숙박,408729,2.9,106520,26.1
괴산군,역사관광,408729,2.9,11894,2.9
괴산군,음식,408729,2.9,80474,19.7
괴산군,자연관광,408729,2.9,90183,22.1
괴산군,체험관광,408729,2.9,4911,1.2
단양군,기타관광,1162892,8.2,202656,17.4
단양군,레저스포츠,1162892,8.2,67969,5.8
단양군,문화관광,1162892,8.2,179777,15.5
단양군,쇼핑,1162892,8.2,113050,9.7
단양군,숙박,1162892,8.2,214530,18.4
단양군,역사관광,1162892,8.2,48388,4.2
단양군,음식,1162892,8.2,260750,22.4
단양군,자연관광,1162892,8.2,75750,6.5
단양군,체험관광,1162892,8.2,22,0.0
보은군,기타관광,346018,2.4,28644,8.3
보은군,레저스포츠,346018,2.4,57817,16.7
보은군,문화관광,346018,2.4,42970,12.4
보은군,쇼핑,346018,2.4,3937,1.1
보은군,숙박,346018,2.4,46768,13.5
보은군,역사관광,346018,2.4,65261,18.9
보은군,음식,346018,2.4,71802,20.8
보은군,자연관광,346018,2.4,28701,8.3
보은군,체험관광,346018,2.4,118,0.0
영동군,기타관광,194398,1.4,51591,26.5
영동군,레저스포츠,194398,1.4,15384,7.9
영동군,문화관광,194398,1.4,10320,5.3
영동군,쇼핑,194398,1.4,4348,2.2
영동군,숙박,194398,1.4,19177,9.9
영동군,역사관광,194398,1.4,15857,8.2
영동군,음식,194398,1.4,42956,22.1
영동군,자연관광,194398,1.4,34371,17.7
영동군,체험관광,194398,1.4,394,0.2
옥천군,기타관광,306378,2.2,44921,14.7
옥천군,레저스포츠,306378,2.2,10261,3.3
옥천군,문화관광,306378,2.2,43706,14.3
옥천군,쇼핑,306378,2.2,1494,0.5
옥천군,숙박,306378,2.2,24727,8.1
옥천군,역사관광,306378,2.2,19216,6.3
옥천군,음식,306378,2.2,128834,42.1
옥천군,자연관광,306378,2.2,24731,8.1
옥천군,체험관광,306378,2.2,8488,2.8
음성군,기타관광,796984,5.6,80861,10.1
음성군,레저스포츠,796984,5.6,277389,34.8
음성군,문화관광,796984,5.6,37609,4.7
음성군,쇼핑,796984,5.6,26577,3.3
음성군,숙박,796984,5.6,63030,7.9
음성군,역사관광,796984,5.6,13378,1.7
음성군,음식,796984,5.6,271260,34.0
음성군,자연관광,796984,5.6,25810,3.2
음성군,체험관광,796984,5.6,1070,0.1
제천시,기타관광,1560304,11.0,299556,19.2
제천시,레저스포츠,1560304,11.0,116414,7.5
제천시,문화관광,1560304,11.0,66840,4.3
제천시,쇼핑,1560304,11.0,44237,2.8
제천시,숙박,1560304,11.0,360313,23.1
제천시,역사관광,1560304,11.0,48285,3.1
제천시,음식,1560304,11.0,497692,31.9
제천시,자연관광,1560304,11.0,118500,7.6
제천시,체험관광,1560304,11.0,8467,0.5
증평군,기타관광,288857,2.0,37960,13.1
증평군,레저스포츠,288857,2.0,45429,15.7
증평군,문화관광,288857,2.0,18065,6.3
증평군,쇼핑,288857,2.0,2745,1.0
증평군,숙박,288857,2.0,23512,8.1
증평군,역사관광,288857,2.0,1322,0.5
증평군,음식,288857,2.0,126271,43.7
증평군,자연관광,288857,2.0,22478,7.8
증평군,체험관광,288857,2.0,11075,3.8
진천군,기타관광,813132,5.7,71537,8.8
진천군,레저스포츠,813132,5.7,225528,27.7
진천군,문화관광,813132,5.7,31640,3.9
진천군,쇼핑,813132,5.7,18348,2.3
진천군,숙박,813132,5.7,88079,10.8
진천군,역사관광,813132,5.7,70582,8.7
진천군,음식,813132,5.7,265446,32.6
진천군,자연관광,813132,5.7,38202,4.7
진천군,체험관광,813132,5.7,3770,0.5
청주시 상당구,기타관광,1253962,8.9,90017,7.2
청주시 상당구,레저스포츠,1253962,8.9,56540,4.5
청주시 상당구,문화관광,1253962,8.9,250957,20.0
청주시 상당구,쇼핑,1253962,8.9,53074,4.2
청주시 상당구,숙박,1253962,8.9,107584,8.6
청주시 상당구,역사관광,1253962,8.9,58794,4.7
청주시 상당구,음식,1253962,8.9,587388,46.8
청주시 상당구,자연관광,1253962,8.9,47021,3.7
청주시 상당구,체험관광,1253962,8.9,2587,0.2
청주시 서원구,기타관광,805524,5.7,8708,1.1
청주시 서원구,레저스포츠,805524,5.7,42602,5.3
청주시 서원구,문화관광,805524,5.7,51479,6.4
청주시 서원구,쇼핑,805524,5.7,33508,4.2
청주시 서원구,숙박,805524,5.7,14394,1.8
청주시 서원구,역사관광,805524,5.7,8074,1.0
청주시 서원구,음식,805524,5.7,633738,78.7
청주시 서원구,자연관광,805524,5.7,565,0.1
청주시 서원구,체험관광,805524,5.7,12456,1.5
청주시 청원구,기타관광,1544121,10.9,361699,23.4
청주시 청원구,레저스포츠,1544121,10.9,92758,6.0
청주시 청원구,문화관광,1544121,10.9,160439,10.4
청주시 청원구,쇼핑,1544121,10.9,16327,1.1
청주시 청원구,숙박,1544121,10.9,145524,9.4
청주시 청원구,역사관광,1544121,10.9,22297,1.4
청주시 청원구,음식,1544121,10.9,730660,47.3
청주시 청원구,자연관광,1544121,10.9,13633,0.9
청주시 청원구,체험관광,1544121,10.9,784,0.1
청주시 흥덕구,기타관광,2480517,17.5,842963,34.0
청주시 흥덕구,레저스포츠,2480517,17.5,92636,3.7
청주시 흥덕구,문화관광,2480517,17.5,120441,4.9
청주시 흥덕구,쇼핑,2480517,17.5,397907,16.0
청주시 흥덕구,숙박,2480517,17.5,189546,7.6
청주시 흥덕구,역사관광,2480517,17.5,2013,0.1
청주시 흥덕구,음식,2480517,17.5,831395,33.5
청주시 흥덕구,자연관광,2480517,17.5,2819,0.1
청주시 흥덕구,체험관광,2480517,17.5,797,0.0
충주시,기타관광,2189647,15.5,207691,9.5
충주시,레저스포츠,2189647,15.5,609939,27.9
충주시,문화관광,2189647,15.5,176914,8.1
충주시,쇼핑,2189647,15.5,52737,2.4
충주시,숙박,2189647,15.5,261295,11.9
충주시,역사관광,2189647,15.5,22164,1.0
충주시,음식,2189647,15.5,687549,31.4
충주시,자연관광,2189647,15.5,117153,5.4
충주시,체험관광,2189647,15.5,54205,2.5
