카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,34942,0.6
자연관광,자연공원,83080,1.5
자연관광,자연경관(하천/해양),94454,1.7
자연관광,자연경관(산),131919,2.4
역사관광,종교성지,79032,1.4
역사관광,역사유적지,102032,1.9
역사관광,역사유물,530,0.0
체험관광,공예체험,7,0.0
체험관광,농/산/어촌체험,8289,0.2
체험관광,웰니스관광,53462,1.0
문화관광,공연시설,118283,2.2
문화관광,테마공원,67216,1.2
문화관광,전시시설,41070,0.7
문화관광,복합관광시설,45872,0.8
문화관광,레저스포츠시설,30280,0.6
문화관광,랜드마크관광,111836,2.0
문화관광,기타문화관광지,15259,0.3
문화관광,도시공원,171481,3.1
문화관광,도시/지역문화관광,1547,0.0
레저스포츠,항공레저스포츠,3271,0.1
레저스포츠,기타레저스포츠,36952,0.7
레저스포츠,수상레저스포츠,35787,0.7
레저스포츠,육상레저스포츠,567815,10.3
쇼핑,면세점,3,0.0
쇼핑,기타쇼핑시설,4596,0.1
쇼핑,시장,184072,3.4
쇼핑,쇼핑몰,95176,1.7
쇼핑,백화점,99387,1.8
음식,외국식,127626,2.3
음식,음식점기타,3318,0.1
음식,전문음식,241635,4.4
음식,한식,686224,12.5
음식,카페/찻집,224365,4.1
음식,간이음식,148393,2.7
숙박,호텔,118063,2.2
숙박,호스텔,10432,0.2
숙박,모텔,91042,1.7
숙박,펜션/민박,79897,1.5
숙박,콘도미니엄,125012,2.3
숙박,캠핑,70160,1.3
숙박,기타숙박,1648,0.0
기타관광,교통시설,1093800,19.9
기타관광,기타관광,247670,4.5
기타관광,데이트코스,214,0.0
