기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
계룡시,기타관광,116770,0.8,22629,19.4
계룡시,레저스포츠,116770,0.8,29019,24.9
계룡시,문화관광,116770,0.8,5609,4.8
계룡시,쇼핑,116770,0.8,9350,8.0
계룡시,숙박,116770,0.8,7142,6.1
계룡시,역사관광,116770,0.8,1252,1.1
계룡시,음식,116770,0.8,41135,35.2
계룡시,자연관광,116770,0.8,634,0.5
공주시,기타관광,912552,6.6,121135,13.3
공주시,레저스포츠,912552,6.6,30325,3.3
공주시,문화관광,912552,6.6,82646,9.1
공주시,쇼핑,912552,6.6,22211,2.4
공주시,숙박,912552,6.6,83888,9.2
공주시,역사관광,912552,6.6,263356,28.9
공주시,음식,912552,6.6,280496,30.7
공주시,자연관광,912552,6.6,21380,2.3
공주시,체험관광,912552,6.6,7115,0.8
금산군,기타관광,191877,1.4,11817,6.2
금산군,레저스포츠,191877,1.4,25939,13.5
금산군,문화관광,191877,1.4,7903,4.1
금산군,쇼핑,191877,1.4,19950,10.4
금산군,숙박,191877,1.4,15501,8.1
금산군,역사관광,191877,1.4,9929,5.2
금산군,음식,191877,1.4,47168,24.6
금산군,자연관광,191877,1.4,9733,5.1
금산군,체험관광,191877,1.4,43937,22.9
논산시,기타관광,465110,3.4,116765,25.1
논산시,레저스포츠,465110,3.4,28175,6.1
논산시,문화관광,465110,3.4,66938,14.4
논산시,쇼핑,465110,3.4,25397,5.5
논산시,숙박,465110,3.4,40520,8.7
논산시,역사관광,465110,3.4,27606,5.9
논산시,음식,465110,3.4,133678,28.7
논산시,자연관광,465110,3.4,21353,4.6
논산시,체험관광,465110,3.4,4678,1.0
당진시,기타관광,956835,6.9,158097,16.5
당진시,레저스포츠,956835,6.9,52901,5.5
당진시,문화관광,956835,6.9,216916,22.7
당진시,쇼핑,956835,6.9,27754,2.9
당진시,숙박,956835,6.9,46493,4.9
당진시,역사관광,956835,6.9,19247,2.0
당진시,음식,956835,6.9,254354,26.6
당진시,자연관광,956835,6.9,180180,18.8
당진시,체험관광,956835,6.9,893,0.1
보령시,기타관광,1162107,8.4,103291,8.9
보령시,레저스포츠,1162107,8.4,51790,4.5
보령시,문화관광,1162107,8.4,93091,8.0
보령시,쇼핑,1162107,8.4,46601,4.0
보령시,숙박,1162107,8.4,224090,19.3
보령시,역사관광,1162107,8.4,4962,0.4
보령시,음식,1162107,8.4,186753,16.1
보령시,자연관광,1162107,8.4,450681,38.8
보령시,체험관광,1162107,8.4,848,0.1
부여군,기타관광,508517,3.7,26404,5.2
부여군,레저스포츠,508517,3.7,39367,7.7
부여군,문화관광,508517,3.7,61163,12.0
부여군,쇼핑,508517,3.7,101907,20.0
부여군,숙박,508517,3.7,71772,14.1
부여군,역사관광,508517,3.7,95671,18.8
부여군,음식,508517,3.7,104922,20.6
