카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,123122,0.8
자연관광,자연공원,158866,1.1
자연관광,자연경관(하천/해양),150489,1.0
자연관광,자연경관(산),74654,0.5
역사관광,종교성지,229646,1.5
역사관광,역사유적지,206959,1.4
역사관광,역사유물,1129,0.0
체험관광,공예체험,1108,0.0
체험관광,농/산/어촌체험,42242,0.3
체험관광,웰니스관광,81504,0.5
문화관광,공연시설,188322,1.2
문화관광,테마공원,189934,1.3
문화관광,전시시설,128259,0.8
문화관광,복합관광시설,70907,0.5
문화관광,레저스포츠시설,59970,0.4
문화관광,랜드마크관광,211408,1.4
문화관광,기타문화관광지,72623,0.5
문화관광,도시공원,318932,2.1
문화관광,도시/지역문화관광,2200,0.0
레저스포츠,항공레저스포츠,9705,0.1
레저스포츠,기타레저스포츠,83608,0.6
레저스포츠,수상레저스포츠,77340,0.5
레저스포츠,육상레저스포츠,1494112,9.9
쇼핑,면세점,109,0.0
쇼핑,기타쇼핑시설,3243,0.0
쇼핑,시장,438849,2.9
쇼핑,쇼핑몰,188726,1.2
쇼핑,백화점,214430,1.4
음식,외국식,448023,3.0
음식,음식점기타,14262,0.1
음식,전문음식,796526,5.3
음식,한식,2709072,17.9
음식,카페/찻집,1399698,9.3
음식,간이음식,670761,4.4
숙박,호텔,401170,2.7
숙박,호스텔,15511,0.1
숙박,모텔,494907,3.3
숙박,펜션/민박,245386,1.6
숙박,콘도미니엄,312484,2.1
숙박,캠핑,253579,1.7
숙박,기타숙박,4958,0.0
기타관광,교통시설,2049992,13.6
기타관광,기타관광,487650,3.2
기타관광,데이트코스,691,0.0
