기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
괴산군,기타관광,244186,3.0,69378,28.4
괴산군,레저스포츠,244186,3.0,7767,3.2
괴산군,문화관광,244186,3.0,8687,3.6
괴산군,쇼핑,244186,3.0,6586,2.7
괴산군,숙박,244186,3.0,52976,21.7
괴산군,역사관광,244186,3.0,8282,3.4
괴산군,음식,244186,3.0,28756,11.8
괴산군,자연관광,244186,3.0,59288,24.3
괴산군,체험관광,244186,3.0,2466,1.0
단양군,기타관광,809573,9.9,167473,20.7
단양군,레저스포츠,809573,9.9,29051,3.6
단양군,문화관광,809573,9.9,131054,16.2
단양군,쇼핑,809573,9.9,71097,8.8
단양군,숙박,809573,9.9,146253,18.1
단양군,역사관광,809573,9.9,24625,3.0
단양군,음식,809573,9.9,169732,21.0
단양군,자연관광,809573,9.9,70216,8.7
단양군,체험관광,809573,9.9,72,0.0
보은군,기타관광,216967,2.6,18646,8.6
보은군,레저스포츠,216967,2.6,41880,19.3
보은군,문화관광,216967,2.6,12340,5.7
보은군,쇼핑,216967,2.6,1809,0.8
보은군,숙박,216967,2.6,30866,14.2
보은군,역사관광,216967,2.6,39567,18.2
보은군,음식,216967,2.6,30657,14.1
보은군,자연관광,216967,2.6,41049,18.9
보은군,체험관광,216967,2.6,153,0.1
영동군,기타관광,119797,1.5,39707,33.1
영동군,레저스포츠,119797,1.5,5677,4.7
영동군,문화관광,119797,1.5,8780,7.3
영동군,쇼핑,119797,1.5,2654,2.2
영동군,숙박,119797,1.5,9453,7.9
영동군,역사관광,119797,1.5,8804,7.3
영동군,음식,119797,1.5,20968,17.5
영동군,자연관광,119797,1.5,22980,19.2
영동군,체험관광,119797,1.5,774,0.6
옥천군,기타관광,132037,1.6,25670,19.4
옥천군,레저스포츠,132037,1.6,3490,2.6
옥천군,문화관광,132037,1.6,12291,9.3
옥천군,쇼핑,132037,1.6,780,0.6
옥천군,숙박,132037,1.6,10736,8.1
옥천군,역사관광,132037,1.6,10498,8.0
옥천군,음식,132037,1.6,54466,41.3
옥천군,자연관광,132037,1.6,11681,8.8
옥천군,체험관광,132037,1.6,2425,1.8
음성군,기타관광,420313,5.1,62318,14.8
음성군,레저스포츠,420313,5.1,162523,38.7
음성군,문화관광,420313,5.1,31202,7.4
음성군,쇼핑,420313,5.1,15280,3.6
음성군,숙박,420313,5.1,24510,5.8
음성군,역사관광,420313,5.1,9989,2.4
음성군,음식,420313,5.1,91388,21.7
음성군,자연관광,420313,5.1,22869,5.4
음성군,체험관광,420313,5.1,234,0.1
제천시,기타관광,799172,9.8,187667,23.5
제천시,레저스포츠,799172,9.8,74992,9.4
제천시,문화관광,799172,9.8,46233,5.8
제천시,쇼핑,799172,9.8,27501,3.4
제천시,숙박,799172,9.8,160496,20.1
제천시,역사관광,799172,9.8,31382,3.9
제천시,음식,799172,9.8,195546,24.5
제천시,자연관광,799172,9.8,67418,8.4
제천시,체험관광,799172,9.8,7937,1.0
증평군,기타관광,138961,1.7,32044,23.1
증평군,레저스포츠,138961,1.7,19110,13.8
증평군,문화관광,138961,1.7,6636,4.8
증평군,쇼핑,138961,1.7,1746,1.3
증평군,숙박,138961,1.7,13058,9.4
증평군,역사관광,138961,1.7,707,0.5
증평군,음식,138961,1.7,46791,33.7
증평군,자연관광,138961,1.7,18612,13.4
증평군,체험관광,138961,1.7,257,0.2
진천군,기타관광,464797,5.7,67777,14.6
진천군,레저스포츠,464797,5.7,150802,32.4
진천군,문화관광,464797,5.7,23295,5.0
진천군,쇼핑,464797,5.7,10397,2.2
진천군,숙박,464797,5.7,25055,5.4
진천군,역사관광,464797,5.7,54764,11.8
진천군,음식,464797,5.7,104342,22.4
진천군,자연관광,464797,5.7,27616,5.9
진천군,체험관광,464797,5.7,749,0.2
청주시 상당구,기타관광,701114,8.6,71664,10.2
청주시 상당구,레저스포츠,701114,8.6,43370,6.2
청주시 상당구,문화관광,701114,8.6,173533,24.8
청주시 상당구,쇼핑,701114,8.6,35302,5.0
청주시 상당구,숙박,701114,8.6,51243,7.3
청주시 상당구,역사관광,701114,8.6,35908,5.1
청주시 상당구,음식,701114,8.6,263693,37.6
청주시 상당구,자연관광,701114,8.6,24956,3.6
청주시 상당구,체험관광,701114,8.6,1445,0.2
청주시 서원구,기타관광,468400,5.7,10728,2.3
청주시 서원구,레저스포츠,468400,5.7,18034,3.9
청주시 서원구,문화관광,468400,5.7,45758,9.8
청주시 서원구,쇼핑,468400,5.7,25969,5.5
청주시 서원구,숙박,468400,5.7,4905,1.0
청주시 서원구,역사관광,468400,5.7,4680,1.0
청주시 서원구,음식,468400,5.7,346827,74.0
청주시 서원구,자연관광,468400,5.7,355,0.1
청주시 서원구,체험관광,468400,5.7,11144,2.4
청주시 청원구,기타관광,916142,11.2,245052,26.7
청주시 청원구,레저스포츠,916142,11.2,50259,5.5
청주시 청원구,문화관광,916142,11.2,125291,13.7
청주시 청원구,쇼핑,916142,11.2,7796,0.9
청주시 청원구,숙박,916142,11.2,65513,7.2
청주시 청원구,역사관광,916142,11.2,16222,1.8
청주시 청원구,음식,916142,11.2,390168,42.6
청주시 청원구,자연관광,916142,11.2,15646,1.7
청주시 청원구,체험관광,916142,11.2,195,0.0
청주시 흥덕구,기타관광,1538046,18.8,659712,42.9
청주시 흥덕구,레저스포츠,1538046,18.8,49605,3.2
청주시 흥덕구,문화관광,1538046,18.8,90750,5.9
청주시 흥덕구,쇼핑,1538046,18.8,301887,19.6
청주시 흥덕구,숙박,1538046,18.8,63667,4.1
청주시 흥덕구,역사관광,1538046,18.8,1273,0.1
청주시 흥덕구,음식,1538046,18.8,369674,24.0
청주시 흥덕구,자연관광,1538046,18.8,1380,0.1
청주시 흥덕구,체험관광,1538046,18.8,98,0.0
충주시,기타관광,1219497,14.9,170980,14.0
충주시,레저스포츠,1219497,14.9,318621,26.1
충주시,문화관광,1219497,14.9,128665,10.6
충주시,쇼핑,1219497,14.9,32682,2.7
충주시,숙박,1219497,14.9,139655,11.5
충주시,역사관광,1219497,14.9,17196,1.4
충주시,음식,1219497,14.9,311443,25.5
충주시,자연관광,1219497,14.9,48041,3.9
충주시,체험관광,1219497,14.9,52214,4.3
