기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
괴산군,기타관광,170382,3.1,47883,28.1
괴산군,레저스포츠,170382,3.1,6096,3.6
괴산군,문화관광,170382,3.1,5325,3.1
괴산군,쇼핑,170382,3.1,3108,1.8
괴산군,숙박,170382,3.1,36224,21.3
괴산군,역사관광,170382,3.1,5355,3.1
괴산군,음식,170382,3.1,17267,10.1
괴산군,자연관광,170382,3.1,47145,27.7
괴산군,체험관광,170382,3.1,1979,1.2
단양군,기타관광,566524,10.3,129294,22.8
단양군,레저스포츠,566524,10.3,18273,3.2
단양군,문화관광,566524,10.3,103517,18.3
단양군,쇼핑,566524,10.3,46581,8.2
단양군,숙박,566524,10.3,92872,16.4
단양군,역사관광,566524,10.3,17940,3.2
단양군,음식,566524,10.3,103931,18.3
단양군,자연관광,566524,10.3,54074,9.5
단양군,체험관광,566524,10.3,42,0.0
보은군,기타관광,142737,2.6,13049,9.1
보은군,레저스포츠,142737,2.6,22770,16.0
보은군,문화관광,142737,2.6,7698,5.4
보은군,쇼핑,142737,2.6,753,0.5
보은군,숙박,142737,2.6,18094,12.7
보은군,역사관광,142737,2.6,25457,17.8
보은군,음식,142737,2.6,15870,11.1
보은군,자연관광,142737,2.6,38942,27.3
보은군,체험관광,142737,2.6,104,0.1
영동군,기타관광,80679,1.5,25042,31.0
영동군,레저스포츠,80679,1.5,3530,4.4
영동군,문화관광,80679,1.5,5918,7.3
영동군,쇼핑,80679,1.5,1591,2.0
영동군,숙박,80679,1.5,5700,7.1
영동군,역사관광,80679,1.5,6232,7.7
영동군,음식,80679,1.5,13263,16.4
영동군,자연관광,80679,1.5,18963,23.5
영동군,체험관광,80679,1.5,440,0.5
옥천군,기타관광,78587,1.4,17731,22.6
옥천군,레저스포츠,78587,1.4,2096,2.7
옥천군,문화관광,78587,1.4,8329,10.6
옥천군,쇼핑,78587,1.4,433,0.6
옥천군,숙박,78587,1.4,5267,6.7
옥천군,역사관광,78587,1.4,5496,7.0
옥천군,음식,78587,1.4,29788,37.9
옥천군,자연관광,78587,1.4,8170,10.4
옥천군,체험관광,78587,1.4,1277,1.6
음성군,기타관광,272699,5.0,45134,16.6
음성군,레저스포츠,272699,5.0,121085,44.4
음성군,문화관광,272699,5.0,10294,3.8
음성군,쇼핑,272699,5.0,8799,3.2
음성군,숙박,272699,5.0,16267,6.0
음성군,역사관광,272699,5.0,7463,2.7
음성군,음식,272699,5.0,45090,16.5
음성군,자연관광,272699,5.0,18421,6.8
음성군,체험관광,272699,5.0,146,0.1
제천시,기타관광,510163,9.3,105703,20.7
제천시,레저스포츠,510163,9.3,48728,9.6
제천시,문화관광,510163,9.3,36191,7.1
제천시,쇼핑,510163,9.3,17324,3.4
제천시,숙박,510163,9.3,105947,20.8
제천시,역사관광,510163,9.3,18956,3.7
제천시,음식,510163,9.3,117336,23.0
제천시,자연관광,510163,9.3,54935,10.8
제천시,체험관광,510163,9.3,5043,1.0
증평군,기타관광,72729,1.3,24861,34.2
증평군,레저스포츠,72729,1.3,2180,3.0
증평군,문화관광,72729,1.3,5752,7.9
증평군,쇼핑,72729,1.3,1116,1.5
증평군,숙박,72729,1.3,4418,6.1
증평군,역사관광,72729,1.3,360,0.5
증평군,음식,72729,1.3,19479,26.8
증평군,자연관광,72729,1.3,14563,20.0
진천군,기타관광,332555,6.1,50314,15.1
진천군,레저스포츠,332555,6.1,114208,34.3
진천군,문화관광,332555,6.1,18665,5.6
진천군,쇼핑,332555,6.1,6332,1.9
진천군,숙박,332555,6.1,15411,4.6
진천군,역사관광,332555,6.1,41980,12.6
진천군,음식,332555,6.1,62279,18.7
진천군,자연관광,332555,6.1,23085,6.9
진천군,체험관광,332555,6.1,281,0.1
청주시 상당구,기타관광,506488,9.2,90659,17.9
청주시 상당구,레저스포츠,506488,9.2,27015,5.3
청주시 상당구,문화관광,506488,9.2,130423,25.8
청주시 상당구,쇼핑,506488,9.2,24923,4.9
청주시 상당구,숙박,506488,9.2,32291,6.4
청주시 상당구,역사관광,506488,9.2,26640,5.3
청주시 상당구,음식,506488,9.2,155642,30.7
청주시 상당구,자연관광,506488,9.2,18278,3.6
청주시 상당구,체험관광,506488,9.2,617,0.1
청주시 서원구,기타관광,293749,5.4,12217,4.2
청주시 서원구,레저스포츠,293749,5.4,12881,4.4
청주시 서원구,문화관광,293749,5.4,32692,11.1
청주시 서원구,쇼핑,293749,5.4,20112,6.8
청주시 서원구,숙박,293749,5.4,2231,0.8
청주시 서원구,역사관광,293749,5.4,3481,1.2
청주시 서원구,음식,293749,5.4,201527,68.6
청주시 서원구,자연관광,293749,5.4,121,0.0
청주시 서원구,체험관광,293749,5.4,8487,2.9
청주시 청원구,기타관광,589311,10.7,160635,27.3
청주시 청원구,레저스포츠,589311,10.7,37986,6.4
청주시 청원구,문화관광,589311,10.7,79300,13.5
청주시 청원구,쇼핑,589311,10.7,5047,0.9
청주시 청원구,숙박,589311,10.7,42422,7.2
청주시 청원구,역사관광,589311,10.7,8097,1.4
청주시 청원구,음식,589311,10.7,241270,40.9
청주시 청원구,자연관광,589311,10.7,14457,2.5
청주시 청원구,체험관광,589311,10.7,97,0.0
청주시 흥덕구,기타관광,1056075,19.2,490733,46.5
청주시 흥덕구,레저스포츠,1056075,19.2,13252,1.3
청주시 흥덕구,문화관광,1056075,19.2,64714,6.1
청주시 흥덕구,쇼핑,1056075,19.2,229285,21.7
청주시 흥덕구,숙박,1056075,19.2,33385,3.2
청주시 흥덕구,역사관광,1056075,19.2,770,0.1
청주시 흥덕구,음식,1056075,19.2,223073,21.1
청주시 흥덕구,자연관광,1056075,19.2,816,0.1
청주시 흥덕구,체험관광,1056075,19.2,47,0.0
충주시,기타관광,814471,14.8,128429,15.8
충주시,레저스포츠,814471,14.8,213725,26.2
충주시,문화관광,814471,14.8,94026,11.5
충주시,쇼핑,814471,14.8,17830,2.2
충주시,숙박,814471,14.8,85725,10.5
충주시,역사관광,814471,14.8,13367,1.6
충주시,음식,814471,14.8,185746,22.8
충주시,자연관광,814471,14.8,32425,4.0
충주시,체험관광,814471,14.8,43198,5.3
