카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,64476,0.7
자연관광,자연공원,108322,1.2
자연관광,자연경관(하천/해양),168366,1.8
자연관광,자연경관(산),161268,1.7
역사관광,종교성지,148817,1.6
역사관광,역사유적지,177468,1.9
역사관광,역사유물,862,0.0
체험관광,공예체험,293,0.0
체험관광,농/산/어촌체험,24106,0.3
체험관광,웰니스관광,44432,0.5
문화관광,공연시설,94736,1.0
문화관광,테마공원,63789,0.7
문화관광,전시시설,53496,0.6
문화관광,복합관광시설,62286,0.7
문화관광,레저스포츠시설,26840,0.3
문화관광,랜드마크관광,199903,2.2
문화관광,기타문화관광지,16517,0.2
문화관광,도시공원,274479,3.0
문화관광,도시/지역문화관광,959,0.0
레저스포츠,항공레저스포츠,11856,0.1
레저스포츠,기타레저스포츠,98143,1.1
레저스포츠,수상레저스포츠,72304,0.8
레저스포츠,육상레저스포츠,1119096,12.1
쇼핑,면세점,3,0.0
쇼핑,기타쇼핑시설,6720,0.1
쇼핑,시장,294530,3.2
쇼핑,쇼핑몰,121506,1.3
쇼핑,백화점,143265,1.6
음식,외국식,224682,2.4
음식,음식점기타,9421,0.1
음식,전문음식,394486,4.3
음식,한식,1338613,14.5
음식,카페/찻집,694463,7.5
음식,간이음식,348183,3.8
숙박,호텔,189577,2.1
숙박,호스텔,6577,0.1
숙박,모텔,229483,2.5
숙박,펜션/민박,154598,1.7
숙박,콘도미니엄,162455,1.8
숙박,캠핑,182807,2.0
숙박,기타숙박,2689,0.0
기타관광,교통시설,1383730,15.0
기타관광,기타관광,344316,3.7
기타관광,데이트코스,854,0.0
