기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
괴산군,기타관광,363384,3.1,77075,21.2
괴산군,레저스포츠,363384,3.1,4737,1.3
괴산군,문화관광,363384,3.1,12294,3.4
괴산군,쇼핑,363384,3.1,11707,3.2
괴산군,숙박,363384,3.1,88218,24.3
괴산군,역사관광,363384,3.1,11218,3.1
괴산군,음식,363384,3.1,60210,16.6
괴산군,자연관광,363384,3.1,93361,25.7
괴산군,체험관광,363384,3.1,4564,1.3
단양군,기타관광,929242,7.9,180535,19.4
단양군,레저스포츠,929242,7.9,54062,5.8
단양군,문화관광,929242,7.9,145760,15.7
단양군,쇼핑,929242,7.9,91406,9.8
단양군,숙박,929242,7.9,156151,16.8
단양군,역사관광,929242,7.9,34929,3.8
단양군,음식,929242,7.9,206654,22.2
단양군,자연관광,929242,7.9,59718,6.4
단양군,체험관광,929242,7.9,27,0.0
보은군,기타관광,303369,2.6,30751,10.1
보은군,레저스포츠,303369,2.6,55757,18.4
보은군,문화관광,303369,2.6,31530,10.4
보은군,쇼핑,303369,2.6,3762,1.2
보은군,숙박,303369,2.6,34357,11.3
보은군,역사관광,303369,2.6,60547,20.0
보은군,음식,303369,2.6,52048,17.2
보은군,자연관광,303369,2.6,34429,11.3
보은군,체험관광,303369,2.6,188,0.1
영동군,기타관광,158830,1.4,42109,26.5
영동군,레저스포츠,158830,1.4,8660,5.5
영동군,문화관광,158830,1.4,6959,4.4
영동군,쇼핑,158830,1.4,4680,2.9
영동군,숙박,158830,1.4,15984,10.1
영동군,역사관광,158830,1.4,14429,9.1
영동군,음식,158830,1.4,32133,20.2
영동군,자연관광,158830,1.4,33673,21.2
영동군,체험관광,158830,1.4,203,0.1
옥천군,기타관광,252726,2.2,40963,16.2
옥천군,레저스포츠,252726,2.2,8916,3.5
옥천군,문화관광,252726,2.2,31690,12.5
옥천군,쇼핑,252726,2.2,1441,0.6
옥천군,숙박,252726,2.2,18852,7.5
옥천군,역사관광,252726,2.2,17252,6.8
옥천군,음식,252726,2.2,104162,41.2
옥천군,자연관광,252726,2.2,20787,8.2
옥천군,체험관광,252726,2.2,8663,3.4
음성군,기타관광,680882,5.8,74925,11.0
음성군,레저스포츠,680882,5.8,259627,38.1
음성군,문화관광,680882,5.8,26367,3.9
음성군,쇼핑,680882,5.8,23633,3.5
음성군,숙박,680882,5.8,48915,7.2
음성군,역사관광,680882,5.8,12222,1.8
음성군,음식,680882,5.8,207430,30.5
음성군,자연관광,680882,5.8,26800,3.9
음성군,체험관광,680882,5.8,963,0.1
제천시,기타관광,1228403,10.5,240351,19.6
제천시,레저스포츠,1228403,10.5,107125,8.7
제천시,문화관광,1228403,10.5,49222,4.0
제천시,쇼핑,1228403,10.5,38006,3.1
제천시,숙박,1228403,10.5,270885,22.1
제천시,역사관광,1228403,10.5,43760,3.6
제천시,음식,1228403,10.5,362670,29.5
제천시,자연관광,1228403,10.5,112458,9.2
제천시,체험관광,1228403,10.5,3926,0.3
증평군,기타관광,269180,2.3,32902,12.2
증평군,레저스포츠,269180,2.3,52166,19.4
증평군,문화관광,269180,2.3,18076,6.7
증평군,쇼핑,269180,2.3,2607,1.0
증평군,숙박,269180,2.3,19265,7.2
증평군,역사관광,269180,2.3,1409,0.5
증평군,음식,269180,2.3,105065,39.0
증평군,자연관광,269180,2.3,23316,8.7
증평군,체험관광,269180,2.3,14374,5.3
진천군,기타관광,736117,6.3,68817,9.3
진천군,레저스포츠,736117,6.3,226246,30.7
진천군,문화관광,736117,6.3,27976,3.8
진천군,쇼핑,736117,6.3,17957,2.4
진천군,숙박,736117,6.3,62487,8.5
진천군,역사관광,736117,6.3,77012,10.5
진천군,음식,736117,6.3,212161,28.8
진천군,자연관광,736117,6.3,42098,5.7
진천군,체험관광,736117,6.3,1363,0.2
청주시 상당구,기타관광,1011099,8.6,64106,6.3
청주시 상당구,레저스포츠,1011099,8.6,60123,5.9
청주시 상당구,문화관광,1011099,8.6,190145,18.8
청주시 상당구,쇼핑,1011099,8.6,46670,4.6
청주시 상당구,숙박,1011099,8.6,72128,7.1
청주시 상당구,역사관광,1011099,8.6,59618,5.9
청주시 상당구,음식,1011099,8.6,472041,46.7
청주시 상당구,자연관광,1011099,8.6,43596,4.3
청주시 상당구,체험관광,1011099,8.6,2672,0.3
청주시 서원구,기타관광,615826,5.3,7740,1.3
청주시 서원구,레저스포츠,615826,5.3,38149,6.2
청주시 서원구,문화관광,615826,5.3,35610,5.8
청주시 서원구,쇼핑,615826,5.3,30814,5.0
청주시 서원구,숙박,615826,5.3,8562,1.4
청주시 서원구,역사관광,615826,5.3,6843,1.1
청주시 서원구,음식,615826,5.3,479428,77.9
청주시 서원구,자연관광,615826,5.3,586,0.1
청주시 서원구,체험관광,615826,5.3,8094,1.3
청주시 청원구,기타관광,1232838,10.5,311309,25.3
청주시 청원구,레저스포츠,1232838,10.5,77460,6.3
청주시 청원구,문화관광,1232838,10.5,144727,11.7
청주시 청원구,쇼핑,1232838,10.5,15470,1.3
청주시 청원구,숙박,1232838,10.5,104678,8.5
청주시 청원구,역사관광,1232838,10.5,23897,1.9
청주시 청원구,음식,1232838,10.5,541367,43.9
청주시 청원구,자연관광,1232838,10.5,13522,1.1
청주시 청원구,체험관광,1232838,10.5,408,0.0
청주시 흥덕구,기타관광,1968196,16.8,696575,35.4
청주시 흥덕구,레저스포츠,1968196,16.8,83980,4.3
청주시 흥덕구,문화관광,1968196,16.8,93415,4.7
청주시 흥덕구,쇼핑,1968196,16.8,350023,17.8
청주시 흥덕구,숙박,1968196,16.8,144314,7.3
청주시 흥덕구,역사관광,1968196,16.8,1883,0.1
청주시 흥덕구,음식,1968196,16.8,594654,30.2
청주시 흥덕구,자연관광,1968196,16.8,2991,0.2
청주시 흥덕구,체험관광,1968196,16.8,361,0.0
충주시,기타관광,1939976,16.6,194374,10.0
충주시,레저스포츠,1939976,16.6,610499,31.5
충주시,문화관광,1939976,16.6,153119,7.9
