카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,109705,0.7
자연관광,자연공원,143978,0.9
자연관광,자연경관(하천/해양),147001,1.0
자연관광,자연경관(산),158283,1.0
역사관광,종교성지,207339,1.3
역사관광,역사유적지,242679,1.6
역사관광,역사유물,1162,0.0
체험관광,공예체험,1157,0.0
체험관광,농/산/어촌체험,35988,0.2
체험관광,웰니스관광,68246,0.4
문화관광,공연시설,161036,1.0
문화관광,테마공원,196943,1.3
문화관광,전시시설,119447,0.8
문화관광,복합관광시설,60954,0.4
문화관광,레저스포츠시설,79968,0.5
문화관광,랜드마크관광,164086,1.1
문화관광,기타문화관광지,85314,0.6
문화관광,도시공원,330539,2.1
문화관광,도시/지역문화관광,1099,0.0
레저스포츠,항공레저스포츠,6101,0.0
레저스포츠,기타레저스포츠,89338,0.6
레저스포츠,수상레저스포츠,68157,0.4
레저스포츠,육상레저스포츠,1402967,9.1
쇼핑,면세점,49,0.0
쇼핑,기타쇼핑시설,4459,0.0
쇼핑,시장,388971,2.5
쇼핑,쇼핑몰,143892,0.9
쇼핑,백화점,176816,1.1
음식,외국식,494424,3.2
음식,음식점기타,16570,0.1
음식,전문음식,977641,6.3
음식,한식,3450995,22.4
음식,카페/찻집,1457180,9.4
음식,간이음식,640687,4.2
숙박,호텔,345650,2.2
숙박,호스텔,14132,0.1
숙박,모텔,435585,2.8
숙박,펜션/민박,209892,1.4
숙박,콘도미니엄,259693,1.7
숙박,캠핑,231085,1.5
숙박,기타숙박,27496,0.2
기타관광,교통시설,1810644,11.7
기타관광,기타관광,452466,2.9
기타관광,데이트코스,2902,0.0
