기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
계룡시,기타관광,230718,1.0,28108,12.2
계룡시,레저스포츠,230718,1.0,60612,26.3
계룡시,문화관광,230718,1.0,7503,3.3
계룡시,쇼핑,230718,1.0,16434,7.1
계룡시,숙박,230718,1.0,19852,8.6
계룡시,역사관광,230718,1.0,3107,1.3
계룡시,음식,230718,1.0,91273,39.6
계룡시,자연관광,230718,1.0,3721,1.6
계룡시,체험관광,230718,1.0,108,0.0
공주시,기타관광,1565016,7.0,151553,9.7
공주시,레저스포츠,1565016,7.0,46515,3.0
공주시,문화관광,1565016,7.0,128026,8.2
공주시,쇼핑,1565016,7.0,38638,2.5
공주시,숙박,1565016,7.0,161705,10.3
공주시,역사관광,1565016,7.0,372740,23.8
공주시,음식,1565016,7.0,625519,40.0
공주시,자연관광,1565016,7.0,31271,2.0
공주시,체험관광,1565016,7.0,9049,0.6
금산군,기타관광,328483,1.5,54044,16.5
금산군,레저스포츠,328483,1.5,23962,7.3
금산군,문화관광,328483,1.5,9354,2.8
금산군,쇼핑,328483,1.5,31550,9.6
금산군,숙박,328483,1.5,42058,12.8
금산군,역사관광,328483,1.5,15931,4.8
금산군,음식,328483,1.5,117142,35.7
금산군,자연관광,328483,1.5,12681,3.9
금산군,체험관광,328483,1.5,21761,6.6
논산시,기타관광,824093,3.7,189420,23.0
논산시,레저스포츠,824093,3.7,50875,6.2
논산시,문화관광,824093,3.7,74002,9.0
논산시,쇼핑,824093,3.7,37533,4.6
논산시,숙박,824093,3.7,71909,8.7
논산시,역사관광,824093,3.7,49562,6.0
논산시,음식,824093,3.7,273108,33.1
논산시,자연관광,824093,3.7,67316,8.2
논산시,체험관광,824093,3.7,10368,1.3
당진시,기타관광,1708664,7.6,179698,10.5
당진시,레저스포츠,1708664,7.6,84080,4.9
당진시,문화관광,1708664,7.6,372714,21.8
당진시,쇼핑,1708664,7.6,46292,2.7
당진시,숙박,1708664,7.6,114460,6.7
당진시,역사관광,1708664,7.6,31552,1.8
당진시,음식,1708664,7.6,594938,34.8
당진시,자연관광,1708664,7.6,283158,16.6
당진시,체험관광,1708664,7.6,1772,0.1
보령시,기타관광,1953892,8.7,135864,7.0
보령시,레저스포츠,1953892,8.7,86081,4.4
보령시,문화관광,1953892,8.7,136139,7.0
보령시,쇼핑,1953892,8.7,90083,4.6
보령시,숙박,1953892,8.7,365360,18.7
보령시,역사관광,1953892,8.7,10868,0.6
보령시,음식,1953892,8.7,421947,21.6
보령시,자연관광,1953892,8.7,703570,36.0
보령시,체험관광,1953892,8.7,3980,0.2
부여군,기타관광,756057,3.4,35954,4.8
부여군,레저스포츠,756057,3.4,61536,8.1
부여군,문화관광,756057,3.4,106062,14.0
부여군,쇼핑,756057,3.4,123803,16.4
부여군,숙박,756057,3.4,105011,13.9
부여군,역사관광,756057,3.4,124949,16.5
부여군,음식,756057,3.4,189595,25.1
부여군,자연관광,756057,3.4,7458,1.0
부여군,체험관광,756057,3.4,1689,0.2
서산시,기타관광,1378203,6.2,135708,9.8
서산시,레저스포츠,1378203,6.2,51366,3.7
서산시,문화관광,1378203,6.2,58397,4.2
서산시,쇼핑,1378203,6.2,43460,3.2
서산시,숙박,1378203,6.2,127473,9.2
서산시,역사관광,1378203,6.2,252811,18.3
서산시,음식,1378203,6.2,472697,34.3
서산시,자연관광,1378203,6.2,233017,16.9
서산시,체험관광,1378203,6.2,3274,0.2
서천군,기타관광,605332,2.7,105373,17.4
서천군,레저스포츠,605332,2.7,9543,1.6
서천군,문화관광,605332,2.7,54864,9.1
서천군,쇼핑,605332,2.7,85003,14.0
서천군,숙박,605332,2.7,61982,10.2
서천군,역사관광,605332,2.7,17421,2.9
서천군,음식,605332,2.7,83615,13.8
서천군,자연관광,605332,2.7,185951,30.7
서천군,체험관광,605332,2.7,1580,0.3
아산시,기타관광,3147566,14.1,729848,23.2
아산시,레저스포츠,3147566,14.1,148726,4.7
아산시,문화관광,3147566,14.1,275070,8.7
아산시,쇼핑,3147566,14.1,134500,4.3
아산시,숙박,3147566,14.1,201886,6.4
아산시,역사관광,3147566,14.1,126458,4.0
아산시,음식,3147566,14.1,1289000,41.0
아산시,자연관광,3147566,14.1,89031,2.8
아산시,체험관광,3147566,14.1,153047,4.9
예산군,기타관광,984079,4.4,240049,24.4
예산군,레저스포츠,984079,4.4,19274,2.0
예산군,문화관광,984079,4.4,40417,4.1
예산군,쇼핑,984079,4.4,16052,1.6
예산군,숙박,984079,4.4,171288,17.4
예산군,역사관광,984079,4.4,118727,12.1
예산군,음식,984079,4.4,319344,32.5
예산군,자연관광,984079,4.4,40664,4.1
예산군,체험관광,984079,4.4,18264,1.9
천안시 동남구,기타관광,2608938,11.7,276923,10.6
천안시 동남구,레저스포츠,2608938,11.7,147244,5.6
천안시 동남구,문화관광,2608938,11.7,361234,13.8
천안시 동남구,쇼핑,2608938,11.7,272973,10.5
천안시 동남구,숙박,2608938,11.7,212748,8.2
천안시 동남구,역사관광,2608938,11.7,67547,2.6
천안시 동남구,음식,2608938,11.7,1201090,46.0
천안시 동남구,자연관광,2608938,11.7,47539,1.8
천안시 동남구,체험관광,2608938,11.7,21640,0.8
천안시 서북구,기타관광,2732055,12.2,17352,0.6
천안시 서북구,레저스포츠,2732055,12.2,59509,2.2
천안시 서북구,문화관광,2732055,12.2,202392,7.4
천안시 서북구,쇼핑,2732055,12.2,281503,10.3
천안시 서북구,숙박,2732055,12.2,300318,11.0
천안시 서북구,역사관광,2732055,12.2,3671,0.1
