기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
계룡시,기타관광,75680,0.8,16994,22.5
계룡시,레저스포츠,75680,0.8,21279,28.1
계룡시,문화관광,75680,0.8,4071,5.4
계룡시,쇼핑,75680,0.8,6502,8.6
계룡시,숙박,75680,0.8,2030,2.7
계룡시,역사관광,75680,0.8,707,0.9
계룡시,음식,75680,0.8,23762,31.4
계룡시,자연관광,75680,0.8,335,0.4
공주시,기타관광,623625,6.6,89569,14.4
공주시,레저스포츠,623625,6.6,21068,3.4
공주시,문화관광,623625,6.6,62905,10.1
공주시,쇼핑,623625,6.6,12652,2.0
공주시,숙박,623625,6.6,49802,8.0
공주시,역사관광,623625,6.6,197264,31.6
공주시,음식,623625,6.6,171940,27.6
공주시,자연관광,623625,6.6,13452,2.2
공주시,체험관광,623625,6.6,4973,0.8
금산군,기타관광,139462,1.5,10399,7.5
금산군,레저스포츠,139462,1.5,19040,13.7
금산군,문화관광,139462,1.5,4957,3.6
금산군,쇼핑,139462,1.5,16141,11.6
금산군,숙박,139462,1.5,10659,7.6
금산군,역사관광,139462,1.5,7012,5.0
금산군,음식,139462,1.5,27769,19.9
금산군,자연관광,139462,1.5,8534,6.1
금산군,체험관광,139462,1.5,34951,25.1
논산시,기타관광,293548,3.1,89215,30.4
논산시,레저스포츠,293548,3.1,16210,5.5
논산시,문화관광,293548,3.1,46687,15.9
논산시,쇼핑,293548,3.1,17487,6.0
논산시,숙박,293548,3.1,19796,6.7
논산시,역사관광,293548,3.1,18212,6.2
논산시,음식,293548,3.1,65962,22.5
논산시,자연관광,293548,3.1,16666,5.7
논산시,체험관광,293548,3.1,3313,1.1
당진시,기타관광,667359,7.1,123932,18.6
당진시,레저스포츠,667359,7.1,42634,6.4
당진시,문화관광,667359,7.1,145056,21.7
당진시,쇼핑,667359,7.1,19739,3.0
당진시,숙박,667359,7.1,24386,3.7
당진시,역사관광,667359,7.1,13633,2.0
당진시,음식,667359,7.1,154991,23.2
당진시,자연관광,667359,7.1,142695,21.4
당진시,체험관광,667359,7.1,293,0.0
보령시,기타관광,815016,8.7,81565,10.0
보령시,레저스포츠,815016,8.7,36121,4.4
보령시,문화관광,815016,8.7,59120,7.3
보령시,쇼핑,815016,8.7,37782,4.6
보령시,숙박,815016,8.7,133661,16.4
보령시,역사관광,815016,8.7,2994,0.4
보령시,음식,815016,8.7,108700,13.3
보령시,자연관광,815016,8.7,354559,43.5
보령시,체험관광,815016,8.7,514,0.1
부여군,기타관광,355689,3.8,20263,5.7
부여군,레저스포츠,355689,3.8,27778,7.8
부여군,문화관광,355689,3.8,39310,11.1
부여군,쇼핑,355689,3.8,84611,23.8
부여군,숙박,355689,3.8,47904,13.5
부여군,역사관광,355689,3.8,70069,19.7
부여군,음식,355689,3.8,61484,17.3
부여군,자연관광,355689,3.8,3535,1.0
부여군,체험관광,355689,3.8,735,0.2
서산시,기타관광,597214,6.4,91605,15.3
서산시,레저스포츠,597214,6.4,25840,4.3
서산시,문화관광,597214,6.4,33249,5.6
서산시,쇼핑,597214,6.4,25665,4.3
서산시,숙박,597214,6.4,31385,5.3
서산시,역사관광,597214,6.4,119307,20.0
서산시,음식,597214,6.4,135843,22.7
서산시,자연관광,597214,6.4,133571,22.4
서산시,체험관광,597214,6.4,749,0.1
서천군,기타관광,321084,3.4,77206,24.0
서천군,레저스포츠,321084,3.4,4536,1.4
서천군,문화관광,321084,3.4,45605,14.2
서천군,쇼핑,321084,3.4,43231,13.5
서천군,숙박,321084,3.4,15485,4.8
서천군,역사관광,321084,3.4,11620,3.6
서천군,음식,321084,3.4,27773,8.6
서천군,자연관광,321084,3.4,94406,29.4
서천군,체험관광,321084,3.4,1222,0.4
아산시,기타관광,1415191,15.1,378055,26.7
아산시,레저스포츠,1415191,15.1,68110,4.8
아산시,문화관광,1415191,15.1,157069,11.1
아산시,쇼핑,1415191,15.1,87485,6.2
아산시,숙박,1415191,15.1,83929,5.9
아산시,역사관광,1415191,15.1,75205,5.3
아산시,음식,1415191,15.1,370912,26.2
아산시,자연관광,1415191,15.1,57799,4.1
아산시,체험관광,1415191,15.1,136627,9.7
예산군,기타관광,365185,3.9,80332,22.0
예산군,레저스포츠,365185,3.9,6099,1.7
예산군,문화관광,365185,3.9,44247,12.1
예산군,쇼핑,365185,3.9,3199,0.9
