카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,49,0.0
자연관광,자연공원,117060,1.2
자연관광,자연경관(하천/해양),1265999,13.5
자연관광,자연경관(산),77567,0.8
역사관광,종교성지,332300,3.5
역사관광,역사유적지,311570,3.3
역사관광,역사유물,3516,0.0
체험관광,공예체험,6,0.0
체험관광,농/산/어촌체험,76312,0.8
체험관광,웰니스관광,154254,1.6
문화관광,공연시설,165074,1.8
문화관광,테마공원,222546,2.4
문화관광,전시시설,273649,2.9
문화관광,복합관광시설,146433,1.6
문화관광,레저스포츠시설,37081,0.4
문화관광,랜드마크관광,24210,0.3
문화관광,도시공원,214863,2.3
문화관광,기타문화관광지,34985,0.4
문화관광,도시/지역문화관광,1877,0.0
레저스포츠,육상레저스포츠,355215,3.8
레저스포츠,기타레저스포츠,37946,0.4
레저스포츠,항공레저스포츠,36,0.0
레저스포츠,수상레저스포츠,61702,0.7
쇼핑,시장,259853,2.8
쇼핑,대형마트,13570,0.1
쇼핑,기타쇼핑시설,43,0.0
쇼핑,쇼핑몰,227745,2.4
쇼핑,백화점,177016,1.9
음식,외국식,228840,2.4
음식,음식점기타,103155,1.1
음식,전문음식,519821,5.5
음식,한식,1077401,11.5
음식,카페/찻집,315777,3.4
음식,간이음식,302605,3.2
숙박,호스텔,8014,0.1
숙박,호텔,152568,1.6
숙박,펜션/민박,212652,2.3
숙박,콘도미니엄,204049,2.2
숙박,캠핑,92340,1.0
숙박,기타숙박,3151,0.0
숙박,모텔,137166,1.5
기타관광,교통시설,1253348,13.3
기타관광,기타관광,192070,2.0
기타관광,데이트코스,1114,0.0
