기준년월,광역지자체,카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
201902,충청남도,전체,688043,493283
201904,충청남도,전체,1026802,777352
201906,충청남도,전체,1243406,812159
201908,충청남도,전체,1661116,951846
201912,충청남도,전체,1112052,740863
201901,충청남도,전체,665021,519334
201905,충청남도,전체,1285222,889592
201910,충청남도,전체,1546369,972244
201903,충청남도,전체,912015,644683
201907,충청남도,전체,1215912,860844
201909,충청남도,전체,1204039,936967
201911,충청남도,전체,1292101,797278
201902,충청남도,기타관광,118708,100425
201902,충청남도,문화관광,87276,55895
201902,충청남도,쇼핑,56633,44206
201902,충청남도,숙박,48197,37549
201902,충청남도,음식,217995,138477
201902,충청남도,자연관광,73458,54071
201902,충청남도,역사관광,43651,31905
201902,충청남도,체험관광,19943,15645
201902,충청남도,레저스포츠,22182,15110
201904,충청남도,기타관광,164299,119191
201904,충청남도,문화관광,116676,93291
201904,충청남도,쇼핑,65301,53341
201904,충청남도,숙박,75813,58276
201904,충청남도,음식,281939,194541
201904,충청남도,자연관광,144982,117533
201904,충청남도,역사관광,106423,80377
201904,충청남도,체험관광,20731,18558
201904,충청남도,레저스포츠,50638,42244
201906,충청남도,기타관광,180090,117503
201906,충청남도,문화관광,138566,92865
201906,충청남도,쇼핑,71122,50692
201906,충청남도,숙박,138660,75823
201906,충청남도,음식,356708,210141
201906,충청남도,자연관광,190111,142355
201906,충청남도,역사관광,76510,50241
201906,충청남도,체험관광,25127,21691
201906,충청남도,레저스포츠,66512,50848
201908,충청남도,기타관광,206522,119153
201908,충청남도,문화관광,184301,117373
201908,충청남도,쇼핑,83197,53302
201908,충청남도,숙박,219686,100228
201908,충청남도,음식,483278,267409
201908,충청남도,자연관광,293310,178782
201908,충청남도,역사관광,86244,48649
201908,충청남도,체험관광,36006,26470
201908,충청남도,레저스포츠,68572,40480
201912,충청남도,기타관광,173199,116121
201912,충청남도,문화관광,102069,82218
201912,충청남도,쇼핑,83033,63284
201912,충청남도,숙박,111860,65661
201912,충청남도,음식,432073,256066
201912,충청남도,자연관광,97308,76396
201912,충청남도,역사관광,53814,38529
201912,충청남도,체험관광,23085,20820
201912,충청남도,레저스포츠,35611,21768
201901,충청남도,기타관광,107158,96931
201901,충청남도,문화관광,78634,60681
201901,충청남도,쇼핑,54875,42144
201901,충청남도,숙박,48845,41535
201901,충청남도,음식,229378,156610
201901,충청남도,자연관광,68249,58012
201901,충청남도,역사관광,39562,30475
201901,충청남도,체험관광,19049,18074
201901,충청남도,레저스포츠,19271,14872
201905,충청남도,기타관광,198466,131437
201905,충청남도,문화관광,145118,109729
201905,충청남도,쇼핑,77658,57618
201905,충청남도,숙박,127540,78980
201905,충청남도,음식,349183,222700
201905,충청남도,자연관광,194817,147325
201905,충청남도,역사관광,103594,71027
201905,충청남도,체험관광,23191,20158
201905,충청남도,레저스포츠,65655,50618
201910,충청남도,기타관광,224827,143747
201910,충청남도,문화관광,172745,128029
201910,충청남도,쇼핑,98767,72733
201910,충청남도,숙박,162563,80555
201910,충청남도,음식,437380,240981
201910,충청남도,자연관광,233626,158022
201910,충청남도,역사관광,112390,76662
201910,충청남도,체험관광,22501,17447
201910,충청남도,레저스포츠,81570,54068
201903,충청남도,기타관광,135603,107646
201903,충청남도,문화관광,111248,77638
201903,충청남도,쇼핑,73594,55019
201903,충청남도,숙박,62104,44008
201903,충청남도,음식,284992,172281
201903,충청남도,자연관광,119354,94503
201903,충청남도,역사관광,62611,48010
201903,충청남도,체험관광,20210,15593
201903,충청남도,레저스포츠,42299,29985
201907,충청남도,기타관광,162237,114819
201907,충청남도,문화관광,135160,94313
201907,충청남도,쇼핑,65879,50698
201907,충청남도,숙박,148596,86311
201907,충청남도,음식,373389,247649
201907,충청남도,자연관광,173803,150337
201907,충청남도,역사관광,72340,52086
201907,충청남도,체험관광,24465,23174
201907,충청남도,레저스포츠,60043,41457
201909,충청남도,기타관광,193364,144574
201909,충청남도,문화관광,124155,112950
201909,충청남도,쇼핑,83594,70815
201909,충청남도,숙박,118637,73922
201909,충청남도,음식,348882,223828
201909,충청남도,자연관광,187733,182367
201909,충청남도,역사관광,69197,61428
201909,충청남도,체험관광,18868,17153
201909,충청남도,레저스포츠,59609,49930
201911,충청남도,기타관광,209743,134959
201911,충청남도,문화관광,132735,95724
201911,충청남도,쇼핑,91906,64375
201911,충청남도,숙박,133921,67092
201911,충청남도,음식,404280,216913
201911,충청남도,자연관광,141213,100954
201911,충청남도,역사관광,90247,57994
201911,충청남도,체험관광,20414,15783
201911,충청남도,레저스포츠,67642,43484
