카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연경관(산),52890,0.2
자연관광,자연경관(하천/해양),1661823,7.1
자연관광,자연공원,242684,1.0
자연관광,자연생태,4183,0.0
자연관광,기타자연관광,124,0.0
역사관광,역사유적지,592450,2.5
역사관광,역사유물,10879,0.0
역사관광,종교성지,656887,2.8
체험관광,농/산/어촌체험,106124,0.5
체험관광,웰니스관광,215532,0.9
체험관광,공예체험,1666,0.0
문화관광,전시시설,451219,1.9
문화관광,공연시설,285878,1.2
문화관광,복합관광시설,322706,1.4
문화관광,레저스포츠시설,88640,0.4
문화관광,랜드마크관광,67242,0.3
문화관광,도시공원,397342,1.7
문화관광,도시/지역문화관광,1355,0.0
문화관광,테마공원,318808,1.4
문화관광,기타문화관광지,171255,0.7
레저스포츠,항공레저스포츠,1068,0.0
레저스포츠,육상레저스포츠,810392,3.5
레저스포츠,수상레저스포츠,122082,0.5
레저스포츠,기타레저스포츠,130073,0.6
쇼핑,시장,893192,3.8
쇼핑,쇼핑몰,312589,1.3
쇼핑,백화점,357972,1.5
쇼핑,기타쇼핑시설,526,0.0
쇼핑,대형마트,16044,0.1
음식,간이음식,1151183,4.9
음식,한식,3896300,16.6
음식,카페/찻집,2135648,9.1
음식,전문음식,1521485,6.5
음식,음식점기타,192572,0.8
음식,외국식,769269,3.3
숙박,기타숙박,11611,0.0
숙박,모텔,785267,3.3
숙박,캠핑,342887,1.5
숙박,콘도미니엄,547368,2.3
숙박,펜션/민박,770446,3.3
숙박,호스텔,14010,0.1
숙박,호텔,446777,1.9
기타관광,데이트코스,4096,0.0
기타관광,기타관광,458860,2.0
기타관광,교통시설,2138186,9.1
