기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
괴산군,기타관광,380250,2.5,63765,16.8
괴산군,레저스포츠,380250,2.5,7337,1.9
괴산군,문화관광,380250,2.5,23873,6.3
괴산군,쇼핑,380250,2.5,16205,4.3
괴산군,숙박,380250,2.5,102169,26.9
괴산군,역사관광,380250,2.5,11729,3.1
괴산군,음식,380250,2.5,90588,23.8
괴산군,자연관광,380250,2.5,60311,15.9
괴산군,체험관광,380250,2.5,4273,1.1
단양군,기타관광,1116000,7.4,180331,16.2
단양군,레저스포츠,1116000,7.4,46786,4.2
단양군,문화관광,1116000,7.4,176983,15.9
단양군,쇼핑,1116000,7.4,119598,10.7
단양군,숙박,1116000,7.4,214987,19.3
단양군,역사관광,1116000,7.4,63529,5.7
단양군,음식,1116000,7.4,240411,21.5
단양군,자연관광,1116000,7.4,73337,6.6
단양군,체험관광,1116000,7.4,38,0.0
보은군,기타관광,334202,2.2,24018,7.2
보은군,레저스포츠,334202,2.2,57049,17.1
보은군,문화관광,334202,2.2,40507,12.1
보은군,쇼핑,334202,2.2,4213,1.3
보은군,숙박,334202,2.2,47033,14.1
보은군,역사관광,334202,2.2,70144,21.0
보은군,음식,334202,2.2,73542,22.0
보은군,자연관광,334202,2.2,17531,5.2
보은군,체험관광,334202,2.2,165,0.0
영동군,기타관광,212075,1.4,54072,25.5
영동군,레저스포츠,212075,1.4,31977,15.1
영동군,문화관광,212075,1.4,12003,5.7
영동군,쇼핑,212075,1.4,4684,2.2
영동군,숙박,212075,1.4,21247,10.0
영동군,역사관광,212075,1.4,15069,7.1
영동군,음식,212075,1.4,52767,24.9
영동군,자연관광,212075,1.4,19652,9.3
영동군,체험관광,212075,1.4,604,0.3
옥천군,기타관광,337113,2.2,52727,15.6
옥천군,레저스포츠,337113,2.2,8238,2.4
옥천군,문화관광,337113,2.2,51561,15.3
옥천군,쇼핑,337113,2.2,1684,0.5
옥천군,숙박,337113,2.2,25351,7.5
옥천군,역사관광,337113,2.2,18828,5.6
옥천군,음식,337113,2.2,148785,44.1
옥천군,자연관광,337113,2.2,21836,6.5
옥천군,체험관광,337113,2.2,8103,2.4
음성군,기타관광,847204,5.6,73944,8.7
음성군,레저스포츠,847204,5.6,292611,34.5
음성군,문화관광,847204,5.6,38524,4.5
음성군,쇼핑,847204,5.6,26527,3.1
음성군,숙박,847204,5.6,69772,8.2
음성군,역사관광,847204,5.6,15897,1.9
음성군,음식,847204,5.6,316609,37.4
음성군,자연관광,847204,5.6,12356,1.5
음성군,체험관광,847204,5.6,964,0.1
제천시,기타관광,1564147,10.3,253566,16.2
제천시,레저스포츠,1564147,10.3,104680,6.7
제천시,문화관광,1564147,10.3,71402,4.6
제천시,쇼핑,1564147,10.3,48979,3.1
제천시,숙박,1564147,10.3,372749,23.8
제천시,역사관광,1564147,10.3,55904,3.6
제천시,음식,1564147,10.3,542468,34.7
제천시,자연관광,1564147,10.3,103017,6.6
제천시,체험관광,1564147,10.3,11382,0.7
증평군,기타관광,307681,2.0,39824,12.9
증평군,레저스포츠,307681,2.0,40814,13.3
증평군,문화관광,307681,2.0,15059,4.9
증평군,쇼핑,307681,2.0,5402,1.8
증평군,숙박,307681,2.0,29293,9.5
증평군,역사관광,307681,2.0,1614,0.5
증평군,음식,307681,2.0,144192,46.9
증평군,자연관광,307681,2.0,20513,6.7
증평군,체험관광,307681,2.0,10970,3.6
진천군,기타관광,829146,5.5,71108,8.6
진천군,레저스포츠,829146,5.5,213192,25.7
진천군,문화관광,829146,5.5,31681,3.8
진천군,쇼핑,829146,5.5,19716,2.4
진천군,숙박,829146,5.5,82534,10.0
진천군,역사관광,829146,5.5,67936,8.2
진천군,음식,829146,5.5,319071,38.5
진천군,자연관광,829146,5.5,19916,2.4
진천군,체험관광,829146,5.5,3992,0.5
청주시 상당구,기타관광,1425605,9.4,116548,8.2
청주시 상당구,레저스포츠,1425605,9.4,52625,3.7
청주시 상당구,문화관광,1425605,9.4,258639,18.1
청주시 상당구,쇼핑,1425605,9.4,63713,4.5
청주시 상당구,숙박,1425605,9.4,109149,7.7
청주시 상당구,역사관광,1425605,9.4,55538,3.9
청주시 상당구,음식,1425605,9.4,724567,50.8
청주시 상당구,자연관광,1425605,9.4,40959,2.9
청주시 상당구,체험관광,1425605,9.4,3867,0.3
청주시 서원구,기타관광,924361,6.1,10784,1.2
청주시 서원구,레저스포츠,924361,6.1,46680,5.0
청주시 서원구,문화관광,924361,6.1,54607,5.9
청주시 서원구,쇼핑,924361,6.1,37928,4.1
청주시 서원구,숙박,924361,6.1,13330,1.4
청주시 서원구,역사관광,924361,6.1,9706,1.1
청주시 서원구,음식,924361,6.1,737406,79.8
청주시 서원구,자연관광,924361,6.1,172,0.0
청주시 서원구,체험관광,924361,6.1,13748,1.5
청주시 청원구,기타관광,1778966,11.8,429991,24.2
청주시 청원구,레저스포츠,1778966,11.8,102515,5.8
청주시 청원구,문화관광,1778966,11.8,185934,10.5
청주시 청원구,쇼핑,1778966,11.8,18661,1.0
청주시 청원구,숙박,1778966,11.8,151424,8.5
청주시 청원구,역사관광,1778966,11.8,24233,1.4
청주시 청원구,음식,1778966,11.8,854357,48.0
청주시 청원구,자연관광,1778966,11.8,10973,0.6
청주시 청원구,체험관광,1778966,11.8,878,0.0
청주시 흥덕구,기타관광,2805154,18.5,967875,34.5
청주시 흥덕구,레저스포츠,2805154,18.5,100568,3.6
청주시 흥덕구,문화관광,2805154,18.5,127761,4.6
청주시 흥덕구,쇼핑,2805154,18.5,419985,15.0
청주시 흥덕구,숙박,2805154,18.5,196161,7.0
청주시 흥덕구,역사관광,2805154,18.5,3482,0.1
청주시 흥덕구,음식,2805154,18.5,987054,35.2
청주시 흥덕구,자연관광,2805154,18.5,1489,0.1
청주시 흥덕구,체험관광,2805154,18.5,779,0.0
충주시,기타관광,2265162,15.0,199780,8.8
충주시,레저스포츠,2265162,15.0,559693,24.7
충주시,문화관광,2265162,15.0,154021,6.8
충주시,쇼핑,2265162,15.0,58062,2.6
충주시,숙박,2265162,15.0,292796,12.9
충주시,역사관광,2265162,15.0,24125,1.1
충주시,음식,2265162,15.0,806525,35.6
충주시,자연관광,2265162,15.0,105069,4.6
충주시,체험관광,2265162,15.0,65091,2.9
