카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연경관(산),104959,0.4
자연관광,자연경관(하천/해양),2196138,8.1
자연관광,자연공원,252357,0.9
자연관광,자연생태,8383,0.0
자연관광,기타자연관광,28,0.0
역사관광,역사유적지,606269,2.2
역사관광,역사유물,11650,0.0
역사관광,종교성지,669393,2.5
체험관광,농/산/어촌체험,110487,0.4
체험관광,웰니스관광,207475,0.8
체험관광,공예체험,2471,0.0
문화관광,전시시설,483995,1.8
문화관광,공연시설,290002,1.1
문화관광,복합관광시설,318085,1.2
문화관광,레저스포츠시설,108011,0.4
문화관광,랜드마크관광,87500,0.3
문화관광,도시공원,469870,1.7
문화관광,도시/지역문화관광,2706,0.0
문화관광,테마공원,372719,1.4
문화관광,기타문화관광지,336759,1.2
레저스포츠,항공레저스포츠,785,0.0
레저스포츠,육상레저스포츠,897376,3.3
레저스포츠,수상레저스포츠,136957,0.5
레저스포츠,기타레저스포츠,128520,0.5
쇼핑,시장,877847,3.2
쇼핑,쇼핑몰,340201,1.3
쇼핑,백화점,364661,1.3
쇼핑,기타쇼핑시설,683,0.0
쇼핑,대형마트,14492,0.1
음식,간이음식,1292424,4.8
음식,한식,5285978,19.5
음식,카페/찻집,2483482,9.2
음식,전문음식,1931053,7.1
음식,음식점기타,204142,0.8
음식,외국식,956426,3.5
숙박,기타숙박,12367,0.0
숙박,모텔,789812,2.9
숙박,캠핑,351605,1.3
숙박,콘도미니엄,540382,2.0
숙박,펜션/민박,764453,2.8
숙박,호스텔,13515,0.0
숙박,호텔,469335,1.7
기타관광,데이트코스,8084,0.0
기타관광,기타관광,492185,1.8
기타관광,교통시설,2094378,7.7
