카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,6642,0.0
자연관광,자연공원,238241,1.1
자연관광,자연경관(하천/해양),2434792,10.9
자연관광,자연경관(산),111371,0.5
역사관광,종교성지,621303,2.8
역사관광,역사유적지,621894,2.8
역사관광,역사유물,9502,0.0
체험관광,공예체험,1404,0.0
체험관광,농/산/어촌체험,100584,0.5
체험관광,웰니스관광,162543,0.7
문화관광,공연시설,242537,1.1
문화관광,테마공원,286841,1.3
문화관광,전시시설,445578,2.0
문화관광,복합관광시설,329459,1.5
문화관광,레저스포츠시설,70081,0.3
문화관광,랜드마크관광,58810,0.3
문화관광,도시공원,466597,2.1
문화관광,기타문화관광지,116796,0.5
문화관광,도시/지역문화관광,2051,0.0
레저스포츠,육상레저스포츠,815511,3.6
레저스포츠,기타레저스포츠,100250,0.4
레저스포츠,항공레저스포츠,1367,0.0
레저스포츠,수상레저스포츠,117315,0.5
쇼핑,시장,670438,3.0
쇼핑,대형마트,16905,0.1
쇼핑,기타쇼핑시설,773,0.0
쇼핑,쇼핑몰,338199,1.5
쇼핑,백화점,322506,1.4
음식,외국식,657558,2.9
음식,음식점기타,185404,0.8
음식,전문음식,1332056,6.0
음식,한식,3259461,14.6
음식,카페/찻집,1869440,8.4
음식,간이음식,1010195,4.5
숙박,호스텔,12038,0.1
숙박,호텔,391641,1.8
숙박,펜션/민박,772701,3.5
숙박,콘도미니엄,478859,2.1
숙박,캠핑,354117,1.6
숙박,기타숙박,7993,0.0
숙박,모텔,736714,3.3
기타관광,교통시설,2027568,9.1
기타관광,기타관광,534513,2.4
기타관광,데이트코스,8283,0.0
