기준년월,광역지자체,카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
202205,충청남도,전체,2236579,1778153
202201,충청남도,전체,1156791,872364
202203,충청남도,전체,1304358,1287923
202204,충청남도,전체,2062455,1603012
202206,충청남도,전체,2107866,1609015
202207,충청남도,전체,2145806,1707500
202202,충청남도,전체,1182677,1218435
202208,충청남도,전체,2260166,1901124
202211,충청남도,전체,1851596,1658116
202209,충청남도,전체,2017199,1772347
202212,충청남도,전체,1497574,1333013
202210,충청남도,전체,2525764,2159472
202205,충청남도,기타관광,252170,216786
202205,충청남도,문화관광,220828,172950
202205,충청남도,쇼핑,124646,108262
202205,충청남도,숙박,261792,191189
202205,충청남도,음식,819408,604939
202205,충청남도,자연관광,289313,258896
202205,충청남도,역사관광,129968,118761
202205,충청남도,체험관광,24422,13983
202205,충청남도,레저스포츠,114032,92387
202201,충청남도,기타관광,158640,125204
202201,충청남도,문화관광,97510,71612
202201,충청남도,쇼핑,93834,71449
202201,충청남도,숙박,124481,84682
202201,충청남도,음식,411494,308267
202201,충청남도,자연관광,157214,125185
202201,충청남도,역사관광,67210,54839
202201,충청남도,체험관광,11793,7326
202201,충청남도,레저스포츠,34615,23800
202203,충청남도,기타관광,153921,168959
202203,충청남도,문화관광,111652,112356
202203,충청남도,쇼핑,89992,92784
202203,충청남도,숙박,125471,116833
202203,충청남도,음식,505180,461980
202203,충청남도,자연관광,162766,168516
202203,충청남도,역사관광,74482,87817
202203,충청남도,체험관광,12261,10168
202203,충청남도,레저스포츠,68633,68510
202204,충청남도,기타관광,225441,194407
202204,충청남도,문화관광,187756,146155
202204,충청남도,쇼핑,116319,96507
202204,충청남도,숙박,220924,158520
202204,충청남도,음식,729488,533477
202204,충청남도,자연관광,266998,224132
202204,충청남도,역사관광,196901,153349
202204,충청남도,체험관광,18830,11939
202204,충청남도,레저스포츠,99798,84526
202206,충청남도,기타관광,226522,189991
202206,충청남도,문화관광,208612,146666
202206,충청남도,쇼핑,109977,90675
202206,충청남도,숙박,277330,182276
202206,충청남도,음식,781919,564648
202206,충청남도,자연관광,262962,239492
202206,충청남도,역사관광,100608,84675
202206,충청남도,체험관광,30089,16390
202206,충청남도,레저스포츠,109847,94202
202207,충청남도,기타관광,214695,181442
202207,충청남도,문화관광,198665,136982
202207,충청남도,쇼핑,105266,90476
202207,충청남도,숙박,304193,217960
202207,충청남도,음식,829885,627387
202207,충청남도,자연관광,263676,260014
202207,충청남도,역사관광,96993,84959
202207,충청남도,체험관광,32157,16591
202207,충청남도,레저스포츠,100276,91689
202202,충청남도,기타관광,147460,162564
202202,충청남도,문화관광,98703,111442
202202,충청남도,쇼핑,84540,88335
202202,충청남도,숙박,132052,124258
202202,충청남도,음식,446883,411465
202202,충청남도,자연관광,149211,178122
202202,충청남도,역사관광,70115,85462
202202,충청남도,체험관광,12456,10409
202202,충청남도,레저스포츠,41257,46378
202208,충청남도,기타관광,223200,199919
202208,충청남도,문화관광,205093,163399
202208,충청남도,쇼핑,114744,98270
202208,충청남도,숙박,324145,242308
202208,충청남도,음식,844134,655562
202208,충청남도,자연관광,319648,331514
202208,충청남도,역사관광,97755,103206
202208,충청남도,체험관광,34682,17411
202208,충청남도,레저스포츠,96765,89535
202211,충청남도,기타관광,245437,223541
202211,충청남도,문화관광,159058,150530
202211,충청남도,쇼핑,118138,109640
202211,충청남도,숙박,222184,195253
202211,충청남도,음식,705949,601368
202211,충청남도,자연관광,176702,175033
202211,충청남도,역사관광,109298,107458
202211,충청남도,체험관광,19277,13529
202211,충청남도,레저스포츠,95553,81764
202209,충청남도,기타관광,241484,215918
202209,충청남도,문화관광,173450,158181
202209,충청남도,쇼핑,123667,113612
202209,충청남도,숙박,246875,193977
202209,충청남도,음식,702450,574943
202209,충청남도,자연관광,302497,305085
202209,충청남도,역사관광,99068,95813
202209,충청남도,체험관광,20692,15858
202209,충청남도,레저스포츠,107016,98960
202212,충청남도,기타관광,183597,171052
202212,충청남도,문화관광,115430,104371
202212,충청남도,쇼핑,106130,100195
202212,충청남도,숙박,199435,165296
202212,충청남도,음식,671019,507005
202212,충청남도,자연관광,106354,166172
202212,충청남도,역사관광,53539,60279
202212,충청남도,체험관광,22507,9787
202212,충청남도,레저스포츠,39563,48856
202210,충청남도,기타관광,297797,250092
202210,충청남도,문화관광,241993,205460
202210,충청남도,쇼핑,161568,139902
202210,충청남도,숙박,315181,260029
202210,충청남도,음식,866305,702762
202210,충청남도,자연관광,333705,333770
202210,충청남도,역사관광,156762,137839
202210,충청남도,체험관광,25365,18458
202210,충청남도,레저스포츠,127088,111160
