카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,2645,0.0
자연관광,자연공원,162388,0.9
자연관광,자연경관(하천/해양),2460458,13.0
자연관광,자연경관(산),140477,0.7
역사관광,종교성지,579583,3.1
역사관광,역사유적지,585710,3.1
역사관광,역사유물,9169,0.0
체험관광,공예체험,570,0.0
체험관광,농/산/어촌체험,94939,0.5
체험관광,웰니스관광,66340,0.4
문화관광,공연시설,147631,0.8
문화관광,테마공원,204643,1.1
문화관광,전시시설,379445,2.0
문화관광,복합관광시설,330841,1.8
문화관광,레저스포츠시설,55533,0.3
문화관광,랜드마크관광,46396,0.2
문화관광,도시공원,425084,2.2
문화관광,기타문화관광지,88275,0.5
문화관광,도시/지역문화관광,2334,0.0
레저스포츠,육상레저스포츠,715911,3.8
레저스포츠,기타레저스포츠,84221,0.4
레저스포츠,항공레저스포츠,1130,0.0
레저스포츠,수상레저스포츠,130505,0.7
쇼핑,시장,601944,3.2
쇼핑,대형마트,18237,0.1
쇼핑,기타쇼핑시설,759,0.0
쇼핑,쇼핑몰,300526,1.6
쇼핑,백화점,278641,1.5
음식,외국식,531227,2.8
음식,음식점기타,167431,0.9
음식,전문음식,1030394,5.5
음식,한식,2445049,12.9
음식,카페/찻집,1509703,8.0
음식,간이음식,869999,4.6
숙박,호스텔,8382,0.0
숙박,호텔,293606,1.6
숙박,펜션/민박,569306,3.0
숙박,콘도미니엄,333972,1.8
숙박,캠핑,335051,1.8
숙박,기타숙박,6716,0.0
숙박,모텔,585548,3.1
기타관광,교통시설,1828337,9.7
기타관광,기타관광,465559,2.5
기타관광,데이트코스,5979,0.0
