기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
계룡시,기타관광,260982,1.1,30755,11.8
계룡시,레저스포츠,260982,1.1,59914,23.0
계룡시,문화관광,260982,1.1,13404,5.1
계룡시,쇼핑,260982,1.1,14175,5.4
계룡시,숙박,260982,1.1,22221,8.5
계룡시,역사관광,260982,1.1,3474,1.3
계룡시,음식,260982,1.1,114056,43.7
계룡시,자연관광,260982,1.1,2856,1.1
계룡시,체험관광,260982,1.1,127,0.0
공주시,기타관광,1630607,6.9,154382,9.5
공주시,레저스포츠,1630607,6.9,45213,2.8
공주시,문화관광,1630607,6.9,129963,8.0
공주시,쇼핑,1630607,6.9,38468,2.4
공주시,숙박,1630607,6.9,170271,10.4
공주시,역사관광,1630607,6.9,383646,23.5
공주시,음식,1630607,6.9,670837,41.1
공주시,자연관광,1630607,6.9,23055,1.4
공주시,체험관광,1630607,6.9,14772,0.9
금산군,기타관광,329054,1.4,41452,12.6
금산군,레저스포츠,329054,1.4,30246,9.2
금산군,문화관광,329054,1.4,14122,4.3
금산군,쇼핑,329054,1.4,30605,9.3
금산군,숙박,329054,1.4,40486,12.3
금산군,역사관광,329054,1.4,16467,5.0
금산군,음식,329054,1.4,124949,38.0
금산군,자연관광,329054,1.4,10478,3.2
금산군,체험관광,329054,1.4,20249,6.2
논산시,기타관광,838973,3.6,176435,21.0
논산시,레저스포츠,838973,3.6,52367,6.2
논산시,문화관광,838973,3.6,81576,9.7
논산시,쇼핑,838973,3.6,27160,3.2
논산시,숙박,838973,3.6,84808,10.1
논산시,역사관광,838973,3.6,46823,5.6
논산시,음식,838973,3.6,322959,38.5
논산시,자연관광,838973,3.6,32011,3.8
논산시,체험관광,838973,3.6,14834,1.8
당진시,기타관광,1792349,7.6,182281,10.2
당진시,레저스포츠,1792349,7.6,110144,6.1
당진시,문화관광,1792349,7.6,352813,19.7
당진시,쇼핑,1792349,7.6,51489,2.9
당진시,숙박,1792349,7.6,119227,6.7
당진시,역사관광,1792349,7.6,33826,1.9
당진시,음식,1792349,7.6,693867,38.7
당진시,자연관광,1792349,7.6,246123,13.7
당진시,체험관광,1792349,7.6,2579,0.1
보령시,기타관광,1725567,7.3,129106,7.5
보령시,레저스포츠,1725567,7.3,81855,4.7
보령시,문화관광,1725567,7.3,127841,7.4
보령시,쇼핑,1725567,7.3,80372,4.7
보령시,숙박,1725567,7.3,365324,21.2
보령시,역사관광,1725567,7.3,9943,0.6
보령시,음식,1725567,7.3,484381,28.1
보령시,자연관광,1725567,7.3,441988,25.6
보령시,체험관광,1725567,7.3,4757,0.3
부여군,기타관광,718585,3.1,35234,4.9
부여군,레저스포츠,718585,3.1,59182,8.2
부여군,문화관광,718585,3.1,104589,14.6
부여군,쇼핑,718585,3.1,85176,11.9
부여군,숙박,718585,3.1,111247,15.5
부여군,역사관광,718585,3.1,114455,15.9
부여군,음식,718585,3.1,200427,27.9
부여군,자연관광,718585,3.1,6266,0.9
부여군,체험관광,718585,3.1,2009,0.3
서산시,기타관광,1378204,5.9,142768,10.4
서산시,레저스포츠,1378204,5.9,44771,3.2
서산시,문화관광,1378204,5.9,66983,4.9
서산시,쇼핑,1378204,5.9,41886,3.0
서산시,숙박,1378204,5.9,142198,10.3
서산시,역사관광,1378204,5.9,241109,17.5
서산시,음식,1378204,5.9,553271,40.1
서산시,자연관광,1378204,5.9,143054,10.4
