기준년월,광역지자체,카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
202303,충청남도,전체,1868638,1304358
202302,충청남도,전체,1622475,1182677
202304,충청남도,전체,2025547,2059881
202306,충청남도,전체,1995436,2107863
202305,충청남도,전체,2001642,2235561
202301,충청남도,전체,1473679,1156788
202307,충청남도,전체,1876073,2145548
202308,충청남도,전체,2180829,2260145
202309,충청남도,전체,2356600,2017199
202310,충청남도,전체,2511373,2525764
202311,충청남도,전체,1821952,1851593
202312,충청남도,전체,1745346,1497574
202303,충청남도,기타관광,218837,153921
202303,충청남도,문화관광,163141,111652
202303,충청남도,쇼핑,123522,89992
202303,충청남도,숙박,179755,125471
202303,충청남도,음식,764973,505180
202303,충청남도,자연관광,191261,162766
202303,충청남도,역사관광,118917,74482
202303,충청남도,체험관광,19490,12261
202303,충청남도,레저스포츠,88742,68633
202302,충청남도,기타관광,195184,147460
202302,충청남도,문화관광,133563,98703
202302,충청남도,쇼핑,123725,84540
202302,충청남도,숙박,183819,132052
202302,충청남도,음식,680175,446883
202302,충청남도,자연관광,140658,149211
202302,충청남도,역사관광,79252,70115
202302,충청남도,체험관광,28941,12456
202302,충청남도,레저스포츠,57158,41257
202304,충청남도,기타관광,216827,225441
202304,충청남도,쇼핑,132418,116319
202304,충청남도,숙박,249127,220924
202304,충청남도,음식,841105,729488
202304,충청남도,자연관광,110960,264569
202304,충청남도,문화관광,171777,187636
202304,충청남도,역사관광,183337,196901
202304,충청남도,체험관광,21676,18830
202304,충청남도,레저스포츠,98320,99773
202306,충청남도,기타관광,205815,226522
202306,충청남도,문화관광,185822,208612
202306,충청남도,쇼핑,117676,109977
202306,충청남도,숙박,273576,277330
202306,충청남도,음식,845273,781919
202306,충청남도,자연관광,128093,262959
202306,충청남도,역사관광,101983,100608
202306,충청남도,체험관광,29703,30089
202306,충청남도,레저스포츠,107495,109847
202305,충청남도,기타관광,218526,252170
202305,충청남도,쇼핑,132891,124553
202305,충청남도,숙박,264896,261792
202305,충청남도,음식,860186,819408
202305,충청남도,자연관광,105390,288580
202305,충청남도,문화관광,178714,220663
202305,충청남도,역사관광,113027,129968
202305,충청남도,체험관광,25339,24422
202305,충청남도,레저스포츠,102673,114005
202301,충청남도,기타관광,194454,158640
202301,충청남도,문화관광,116662,97510
202301,충청남도,쇼핑,108836,93834
202301,충청남도,숙박,165848,124481
202301,충청남도,음식,637632,411494
202301,충청남도,자연관광,118523,157214
202301,충청남도,역사관광,68122,67210
202301,충청남도,체험관광,26153,11793
202301,충청남도,레저스포츠,37449,34612
202307,충청남도,기타관광,189672,214695
202307,충청남도,쇼핑,107480,105266
202307,충청남도,숙박,275557,304193
202307,충청남도,음식,853278,829885
202307,충청남도,자연관광,98256,263676
202307,충청남도,문화관광,153499,198474
202307,충청남도,역사관광,78763,96951
202307,충청남도,체험관광,32248,32157
202307,충청남도,레저스포츠,87320,100251
202308,충청남도,기타관광,203533,223200
202308,충청남도,문화관광,196141,205072
202308,충청남도,쇼핑,123281,114744
202308,충청남도,숙박,311006,324145
202308,충청남도,음식,935902,844134
202308,충청남도,자연관광,183901,319648
202308,충청남도,레저스포츠,96451,96765
202308,충청남도,역사관광,91101,97755
202308,충청남도,체험관광,39513,34682
202309,충청남도,기타관광,265019,241484
202309,충청남도,문화관광,218621,173450
202309,충청남도,쇼핑,164506,123667
202309,충청남도,숙박,284663,246875
202309,충청남도,음식,848230,702450
202309,충청남도,자연관광,320052,302497
202309,충청남도,역사관광,111127,99068
202309,충청남도,체험관광,25113,20692
202309,충청남도,레저스포츠,119269,107016
202310,충청남도,기타관광,276194,297797
202310,충청남도,문화관광,285313,241993
202310,충청남도,쇼핑,179047,161568
202310,충청남도,숙박,294223,315181
202310,충청남도,음식,867687,866305
202310,충청남도,자연관광,299448,333705
202310,충청남도,역사관광,154706,156762
202310,충청남도,체험관광,25343,25365
202310,충청남도,레저스포츠,129412,127088
202311,충청남도,기타관광,223839,245437
202311,충청남도,문화관광,158265,159058
202311,충청남도,쇼핑,134838,118138
202311,충청남도,숙박,217769,222184
202311,충청남도,음식,732806,705949
202311,충청남도,자연관광,145386,176699
202311,충청남도,역사관광,97200,109298
202311,충청남도,체험관광,20847,19277
202311,충청남도,레저스포츠,91002,95553
202312,충청남도,기타관광,193242,183597
202312,충청남도,문화관광,142927,115430
202312,충청남도,쇼핑,132103,106130
202312,충청남도,숙박,218127,199435
202312,충청남도,음식,799210,671019
202312,충청남도,자연관광,119776,106354
202312,충청남도,역사관광,62681,53539
202312,충청남도,체험관광,28956,22507
202312,충청남도,레저스포츠,48324,39563
