기준년월,광역지자체,카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
201802,충청남도,전체,493319,0
201806,충청남도,전체,812159,0
201812,충청남도,전체,740866,0
201803,충청남도,전체,644686,0
201805,충청남도,전체,889610,0
201809,충청남도,전체,936967,0
201811,충청남도,전체,797278,0
201801,충청남도,전체,519362,0
201804,충청남도,전체,777358,0
201810,충청남도,전체,972244,0
201807,충청남도,전체,860850,0
201808,충청남도,전체,951849,0
201802,충청남도,기타관광,100451,0
201802,충청남도,문화관광,55898,0
201802,충청남도,쇼핑,44206,0
201802,충청남도,숙박,37549,0
201802,충청남도,음식,138477,0
201802,충청남도,자연관광,54071,0
201802,충청남도,역사관광,31908,0
201802,충청남도,체험관광,15645,0
201802,충청남도,레저스포츠,15114,0
201806,충청남도,기타관광,117503,0
201806,충청남도,문화관광,92865,0
201806,충청남도,쇼핑,50692,0
201806,충청남도,숙박,75823,0
201806,충청남도,음식,210141,0
201806,충청남도,자연관광,142355,0
201806,충청남도,역사관광,50241,0
201806,충청남도,체험관광,21691,0
201806,충청남도,레저스포츠,50848,0
201812,충청남도,기타관광,116121,0
201812,충청남도,문화관광,82218,0
201812,충청남도,쇼핑,63284,0
201812,충청남도,숙박,65661,0
201812,충청남도,음식,256066,0
201812,충청남도,자연관광,76396,0
201812,충청남도,역사관광,38529,0
201812,충청남도,체험관광,20823,0
201812,충청남도,레저스포츠,21768,0
201803,충청남도,기타관광,107646,0
201803,충청남도,문화관광,77641,0
201803,충청남도,쇼핑,55019,0
201803,충청남도,숙박,44008,0
201803,충청남도,음식,172281,0
201803,충청남도,자연관광,94503,0
201803,충청남도,역사관광,48010,0
201803,충청남도,체험관광,15593,0
201803,충청남도,레저스포츠,29985,0
201805,충청남도,기타관광,131437,0
201805,충청남도,문화관광,109729,0
201805,충청남도,쇼핑,57618,0
201805,충청남도,숙박,78980,0
201805,충청남도,음식,222703,0
201805,충청남도,자연관광,147337,0
201805,충청남도,역사관광,71027,0
201805,충청남도,체험관광,20161,0
201805,충청남도,레저스포츠,50618,0
201809,충청남도,기타관광,144574,0
201809,충청남도,문화관광,112950,0
201809,충청남도,쇼핑,70815,0
201809,충청남도,숙박,73922,0
201809,충청남도,음식,223828,0
201809,충청남도,자연관광,182367,0
201809,충청남도,역사관광,61428,0
201809,충청남도,체험관광,17153,0
201809,충청남도,레저스포츠,49930,0
201811,충청남도,기타관광,134959,0
201811,충청남도,문화관광,95724,0
201811,충청남도,쇼핑,64375,0
201811,충청남도,숙박,67092,0
201811,충청남도,음식,216913,0
201811,충청남도,자연관광,100954,0
201811,충청남도,역사관광,57994,0
201811,충청남도,체험관광,15783,0
201811,충청남도,레저스포츠,43484,0
201801,충청남도,기타관광,96931,0
201801,충청남도,문화관광,60681,0
201801,충청남도,쇼핑,42144,0
201801,충청남도,숙박,41535,0
201801,충청남도,음식,156610,0
201801,충청남도,자연관광,58015,0
201801,충청남도,역사관광,30475,0
201801,충청남도,체험관광,18074,0
201801,충청남도,레저스포츠,14897,0
201804,충청남도,기타관광,119191,0
201804,충청남도,문화관광,93297,0
201804,충청남도,쇼핑,53341,0
201804,충청남도,숙박,58276,0
201804,충청남도,음식,194541,0
201804,충청남도,자연관광,117533,0
201804,충청남도,역사관광,80377,0
201804,충청남도,체험관광,18558,0
201804,충청남도,레저스포츠,42244,0
201810,충청남도,기타관광,143747,0
201810,충청남도,문화관광,128029,0
201810,충청남도,쇼핑,72733,0
201810,충청남도,숙박,80555,0
201810,충청남도,음식,240981,0
201810,충청남도,자연관광,158022,0
201810,충청남도,역사관광,76662,0
201810,충청남도,체험관광,17447,0
201810,충청남도,레저스포츠,54068,0
201807,충청남도,기타관광,114819,0
201807,충청남도,문화관광,94313,0
201807,충청남도,쇼핑,50698,0
201807,충청남도,숙박,86311,0
201807,충청남도,음식,247649,0
201807,충청남도,자연관광,150340,0
201807,충청남도,역사관광,52086,0
201807,충청남도,체험관광,23174,0
201807,충청남도,레저스포츠,41460,0
201808,충청남도,기타관광,119153,0
201808,충청남도,문화관광,117373,0
201808,충청남도,쇼핑,53302,0
201808,충청남도,숙박,100228,0
201808,충청남도,음식,267409,0
201808,충청남도,자연관광,178782,0
201808,충청남도,역사관광,48649,0
201808,충청남도,체험관광,26470,0
201808,충청남도,레저스포츠,40483,0
