카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,220,0.0
자연관광,자연공원,142568,0.9
자연관광,자연경관(하천/해양),2306395,14.9
자연관광,자연경관(산),106460,0.7
역사관광,종교성지,503440,3.3
역사관광,역사유적지,476624,3.1
역사관광,역사유물,8337,0.1
체험관광,공예체험,112,0.0
체험관광,농/산/어촌체험,88748,0.6
체험관광,웰니스관광,80265,0.5
문화관광,공연시설,109457,0.7
문화관광,테마공원,147189,1.0
문화관광,전시시설,272798,1.8
문화관광,복합관광시설,276437,1.8
문화관광,레저스포츠시설,47363,0.3
문화관광,랜드마크관광,38446,0.2
문화관광,도시공원,344208,2.2
문화관광,기타문화관광지,91156,0.6
문화관광,도시/지역문화관광,2485,0.0
레저스포츠,육상레저스포츠,574270,3.7
레저스포츠,기타레저스포츠,56316,0.4
레저스포츠,항공레저스포츠,170,0.0
레저스포츠,수상레저스포츠,124223,0.8
쇼핑,시장,476875,3.1
쇼핑,대형마트,19354,0.1
쇼핑,기타쇼핑시설,1002,0.0
쇼핑,쇼핑몰,265051,1.7
쇼핑,백화점,225279,1.5
음식,외국식,417336,2.7
음식,음식점기타,119247,0.8
음식,전문음식,863199,5.6
음식,한식,1946875,12.6
음식,카페/찻집,980643,6.3
음식,간이음식,674332,4.4
숙박,호스텔,6579,0.0
숙박,호텔,216173,1.4
숙박,펜션/민박,519690,3.4
숙박,콘도미니엄,251654,1.6
숙박,캠핑,297763,1.9
숙박,기타숙박,5749,0.0
숙박,모텔,386763,2.5
기타관광,교통시설,1638385,10.6
기타관광,기타관광,365334,2.4
기타관광,데이트코스,5336,0.0
