기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
계룡시,기타관광,137883,0.9,20369,14.8
계룡시,레저스포츠,137883,0.9,37123,26.9
계룡시,문화관광,137883,0.9,4544,3.3
계룡시,쇼핑,137883,0.9,10740,7.8
계룡시,숙박,137883,0.9,9160,6.6
계룡시,역사관광,137883,0.9,2071,1.5
계룡시,음식,137883,0.9,50366,36.5
계룡시,자연관광,137883,0.9,3469,2.5
계룡시,체험관광,137883,0.9,41,0.0
공주시,기타관광,1022622,6.6,120746,11.8
공주시,레저스포츠,1022622,6.6,39647,3.9
공주시,문화관광,1022622,6.6,68743,6.7
공주시,쇼핑,1022622,6.6,25886,2.5
공주시,숙박,1022622,6.6,94173,9.2
공주시,역사관광,1022622,6.6,296982,29.0
공주시,음식,1022622,6.6,348440,34.1
공주시,자연관광,1022622,6.6,20836,2.0
공주시,체험관광,1022622,6.6,7169,0.7
금산군,기타관광,202184,1.3,12641,6.3
금산군,레저스포츠,202184,1.3,17225,8.5
금산군,문화관광,202184,1.3,8304,4.1
금산군,쇼핑,202184,1.3,23064,11.4
금산군,숙박,202184,1.3,23005,11.4
금산군,역사관광,202184,1.3,13487,6.7
금산군,음식,202184,1.3,62370,30.8
금산군,자연관광,202184,1.3,10172,5.0
금산군,체험관광,202184,1.3,31916,15.8
논산시,기타관광,513348,3.3,118074,23.0
논산시,레저스포츠,513348,3.3,42799,8.3
논산시,문화관광,513348,3.3,51951,10.1
논산시,쇼핑,513348,3.3,30885,6.0
논산시,숙박,513348,3.3,33693,6.6
논산시,역사관광,513348,3.3,31153,6.1
논산시,음식,513348,3.3,167277,32.6
논산시,자연관광,513348,3.3,32208,6.3
논산시,체험관광,513348,3.3,5308,1.0
당진시,기타관광,1310559,8.5,168814,12.9
당진시,레저스포츠,1310559,8.5,65925,5.0
당진시,문화관광,1310559,8.5,304669,23.2
당진시,쇼핑,1310559,8.5,37660,2.9
당진시,숙박,1310559,8.5,68181,5.2
당진시,역사관광,1310559,8.5,23628,1.8
당진시,음식,1310559,8.5,370845,28.3
당진시,자연관광,1310559,8.5,269815,20.6
당진시,체험관광,1310559,8.5,1022,0.1
보령시,기타관광,1367516,8.8,108849,8.0
보령시,레저스포츠,1367516,8.8,53721,3.9
보령시,문화관광,1367516,8.8,79445,5.8
보령시,쇼핑,1367516,8.8,57351,4.2
보령시,숙박,1367516,8.8,233302,17.1
보령시,역사관광,1367516,8.8,8102,0.6
보령시,음식,1367516,8.8,239842,17.5
보령시,자연관광,1367516,8.8,585957,42.8
보령시,체험관광,1367516,8.8,947,0.1
부여군,기타관광,539746,3.5,25065,4.6
부여군,레저스포츠,539746,3.5,50814,9.4
부여군,문화관광,539746,3.5,63852,11.8
부여군,쇼핑,539746,3.5,100294,18.6
부여군,숙박,539746,3.5,70780,13.1
부여군,역사관광,539746,3.5,100743,18.7
부여군,음식,539746,3.5,121203,22.5
부여군,자연관광,539746,3.5,6030,1.1
부여군,체험관광,539746,3.5,965,0.2
서산시,기타관광,1075662,6.9,112276,10.4
서산시,레저스포츠,1075662,6.9,41956,3.9
서산시,문화관광,1075662,6.9,39702,3.7
서산시,쇼핑,1075662,6.9,41938,3.9
서산시,숙박,1075662,6.9,81836,7.6
서산시,역사관광,1075662,6.9,199712,18.6
서산시,음식,1075662,6.9,297239,27.6
서산시,자연관광,1075662,6.9,258659,24.0
서산시,체험관광,1075662,6.9,2344,0.2
서천군,기타관광,482156,3.1,78165,16.2
서천군,레저스포츠,482156,3.1,7486,1.6
서천군,문화관광,482156,3.1,47568,9.9
서천군,쇼핑,482156,3.1,69585,14.4
서천군,숙박,482156,3.1,47536,9.9
서천군,역사관광,482156,3.1,15967,3.3
서천군,음식,482156,3.1,51211,10.6
서천군,자연관광,482156,3.1,163261,33.9
서천군,체험관광,482156,3.1,1377,0.3
아산시,기타관광,1996060,12.9,502508,25.2
아산시,레저스포츠,1996060,12.9,112557,5.6
아산시,문화관광,1996060,12.9,209579,10.5
아산시,쇼핑,1996060,12.9,101783,5.1
아산시,숙박,1996060,12.9,102083,5.1
아산시,역사관광,1996060,12.9,95484,4.8
아산시,음식,1996060,12.9,722652,36.2
아산시,자연관광,1996060,12.9,80324,4.0
아산시,체험관광,1996060,12.9,69090,3.5
예산군,기타관광,702682,4.5,234859,33.4
예산군,레저스포츠,702682,4.5,10863,1.5
예산군,문화관광,702682,4.5,26385,3.8
예산군,쇼핑,702682,4.5,6990,1.0
예산군,숙박,702682,4.5,85538,12.2
예산군,역사관광,702682,4.5,99200,14.1
예산군,음식,702682,4.5,185400,26.4
예산군,자연관광,702682,4.5,39240,5.6
예산군,체험관광,702682,4.5,14207,2.0
천안시 동남구,기타관광,1674799,10.8,227941,13.6
천안시 동남구,레저스포츠,1674799,10.8,115462,6.9
천안시 동남구,문화관광,1674799,10.8,214043,12.8
천안시 동남구,쇼핑,1674799,10.8,182936,10.9
천안시 동남구,숙박,1674799,10.8,81965,4.9
천안시 동남구,역사관광,1674799,10.8,53582,3.2
천안시 동남구,음식,1674799,10.8,735400,43.9
천안시 동남구,자연관광,1674799,10.8,45238,2.7
천안시 동남구,체험관광,1674799,10.8,18232,1.1
천안시 서북구,기타관광,1715168,11.1,12204,0.7
천안시 서북구,레저스포츠,1715168,11.1,31064,1.8
천안시 서북구,문화관광,1715168,11.1,75293,4.4
천안시 서북구,쇼핑,1715168,11.1,213331,12.4
천안시 서북구,숙박,1715168,11.1,168473,9.8
천안시 서북구,역사관광,1715168,11.1,2624,0.2
천안시 서북구,음식,1715168,11.1,1190086,69.4
천안시 서북구,자연관광,1715168,11.1,20052,1.2
천안시 서북구,체험관광,1715168,11.1,2041,0.1
청양군,기타관광,112757,0.7,46208,41.0
청양군,레저스포츠,112757,0.7,2256,2.0
청양군,문화관광,112757,0.7,8351,7.4
청양군,쇼핑,112757,0.7,4011,3.6
청양군,숙박,112757,0.7,7763,6.9
청양군,역사관광,112757,0.7,12113,10.7
청양군,음식,112757,0.7,21526,19.1
청양군,자연관광,112757,0.7,9893,8.8
청양군,체험관광,112757,0.7,636,0.6
태안군,기타관광,2232356,14.4,140966,6.3
태안군,레저스포츠,2232356,14.4,123697,5.5
태안군,문화관광,2232356,14.4,95049,4.3
태안군,쇼핑,2232356,14.4,59282,2.7
태안군,숙박,2232356,14.4,556189,24.9
태안군,역사관광,2232356,14.4,19490,0.9
태안군,음식,2232356,14.4,311297,13.9
태안군,자연관광,2232356,14.4,913529,40.9
태안군,체험관광,2232356,14.4,12857,0.6
홍성군,기타관광,394808,2.6,79370,20.1
홍성군,레저스포츠,394808,2.6,2384,0.6
홍성군,문화관광,394808,2.6,32061,8.1
홍성군,쇼핑,394808,2.6,21825,5.5
홍성군,숙박,394808,2.6,20694,5.2
홍성군,역사관광,394808,2.6,14063,3.6
홍성군,음식,394808,2.6,126478,32.0
홍성군,자연관광,394808,2.6,96960,24.6
홍성군,체험관광,394808,2.6,973,0.2
