년도,축제이름,지역,검색량_비율,,,,,,,,
2005,괴산고추축제,대구광역시,,,,,,,,,
2005,괴산고추축제,부산광역시,46,,,,,,,,
2005,괴산고추축제,경상북도,49,,,,,,,,
2005,괴산고추축제,경기도,39,,,,,,,,
2005,괴산고추축제,서울특별시,43,,,,,,,,
2005,괴산고추축제,경상남도,,,,,,,,,
2006,괴산고추축제,충청남도,6,,,,,,,,
2006,괴산고추축제,대전광역시,,,,,,,,,
2006,괴산고추축제,전라북도,,,,,,,,,
2006,괴산고추축제,충청북도,90,,,,,,,,
2006,괴산고추축제,대구광역시,,,,,,,,,
2006,괴산고추축제,부산광역시,46,,,,,,,,
2006,괴산고추축제,경상북도,49,,,,,,,,
2006,괴산고추축제,경기도,39,,,,,,,,
2006,괴산고추축제,서울특별시,43,,,,,,,,
2006,괴산고추축제,경상남도,,,,,,,,,
2007,괴산고추축제,충청남도,6,,,,,,,,
2007,괴산고추축제,대전광역시,,,,,,,,,
2007,괴산고추축제,전라북도,,,,,,,,,
2007,괴산고추축제,충청북도,90,,,,,,,,
2007,괴산고추축제,대구광역시,,,,,,,,,
2007,괴산고추축제,부산광역시,46,,,,,,,,
2007,괴산고추축제,경상북도,49,,,,,,,,
2007,괴산고추축제,경기도,39,,,,,,,,
2007,괴산고추축제,서울특별시,43,,,,,,,,
2007,괴산고추축제,경상남도,,,,,,,,,
2008,괴산고추축제,충청남도,6,,,,,,,,
2008,괴산고추축제,대전광역시,,,,,,,,,
2008,괴산고추축제,전라북도,,,,,,,,,
2008,괴산고추축제,충청북도,90,,,,,,,,
2008,괴산고추축제,대구광역시,,,,,,,,,
2008,괴산고추축제,부산광역시,46,,,,,,,,
2008,괴산고추축제,경상북도,49,,,,,,,,
2008,괴산고추축제,경기도,39,,,,,,,,
2008,괴산고추축제,서울특별시,43,,,,,,,,
2008,괴산고추축제,경상남도,,,,,,,,,
2009,괴산고추축제,충청남도,6,,,,,,,,
2009,괴산고추축제,대전광역시,,,,,,,,,
2009,괴산고추축제,전라북도,,,,,,,,,
2009,괴산고추축제,충청북도,90,,,,,,,,
2009,괴산고추축제,대구광역시,,,,,,,,,
2009,괴산고추축제,부산광역시,46,,,,,,,,
2009,괴산고추축제,경상북도,49,,,,,,,,
2009,괴산고추축제,경기도,39,,,,,,,,
2009,괴산고추축제,서울특별시,43,,,,,,,,
2009,괴산고추축제,경상남도,,,,,,,,,
2010,괴산고추축제,충청남도,6,,,,,,,,
2010,괴산고추축제,대전광역시,,,,,,,,,
2010,괴산고추축제,전라북도,,,,,,,,,
2010,괴산고추축제,충청북도,90,,,,,,,,
2010,괴산고추축제,대구광역시,,,,,,,,,
2010,괴산고추축제,부산광역시,46,,,,,,,,
2010,괴산고추축제,경상북도,49,,,,,,,,
2010,괴산고추축제,경기도,39,,,,,,,,
2010,괴산고추축제,서울특별시,43,,,,,,,,
2010,괴산고추축제,경상남도,,,,,,,,,
2011,괴산고추축제,충청남도,6,,,,,,,,
2011,괴산고추축제,대전광역시,,,,,,,,,
2011,괴산고추축제,전라북도,,,,,,,,,
2011,괴산고추축제,충청북도,90,,,,,,,,
2011,괴산고추축제,대구광역시,,,,,,,,,
2011,괴산고추축제,부산광역시,46,,,,,,,,
2011,괴산고추축제,경상북도,49,,,,,,,,
2011,괴산고추축제,경기도,39,,,,,,,,
2011,괴산고추축제,서울특별시,43,,,,,,,,
2011,괴산고추축제,경상남도,,,,,,,,,
2012,괴산고추축제,충청남도,6,,,,,,,,
2012,괴산고추축제,대전광역시,,,,,,,,,
2012,괴산고추축제,전라북도,,,,,,,,,
2012,괴산고추축제,충청북도,90,,,,,,,,
2012,괴산고추축제,대구광역시,,,,,,,,,
2012,괴산고추축제,부산광역시,46,,,,,,,,
2012,괴산고추축제,경상북도,49,,,,,,,,
2012,괴산고추축제,경기도,39,,,,,,,,
2012,괴산고추축제,서울특별시,43,,,,,,,,
2012,괴산고추축제,경상남도,,,,,,,,,
2013,괴산고추축제,충청남도,6,,,,,,,,
2013,괴산고추축제,대전광역시,,,,,,,,,
2013,괴산고추축제,전라북도,,,,,,,,,
2013,괴산고추축제,충청북도,90,,,,,,,,
2013,괴산고추축제,대구광역시,,,,,,,,,
2013,괴산고추축제,부산광역시,46,,,,,,,,
2013,괴산고추축제,경상북도,49,,,,,,,,
2013,괴산고추축제,경기도,39,,,,,,,,
2013,괴산고추축제,서울특별시,43,,,,,,,,
2013,괴산고추축제,경상남도,,,,,,,,,
2014,괴산고추축제,충청남도,6,,,,,,,,
2014,괴산고추축제,대전광역시,,,,,,,,,
2014,괴산고추축제,전라북도,,,,,,,,,
2014,괴산고추축제,충청북도,90,,,,,,,,
2014,괴산고추축제,대구광역시,,,,,,,,,
2014,괴산고추축제,부산광역시,46,,,,,,,,
2014,괴산고추축제,경상북도,49,,,,,,,,
2014,괴산고추축제,경기도,39,,,,,,,,
2014,괴산고추축제,서울특별시,43,,,,,,,,
2014,괴산고추축제,경상남도,,,,,,,,,
2015,괴산고추축제,충청남도,6,,,,,,,,
2015,괴산고추축제,대전광역시,,,,,,,,,
2015,괴산고추축제,전라북도,,,,,,,,,
2015,괴산고추축제,충청북도,90,,,,,,,,
2015,괴산고추축제,대구광역시,,,,,,,,,
2015,괴산고추축제,부산광역시,46,,,,,,,,
2015,괴산고추축제,경상북도,49,,,,,,,,
2015,괴산고추축제,경기도,39,,,,,,,,
2015,괴산고추축제,서울특별시,43,,,,,,,,
2015,괴산고추축제,경상남도,,,,,,,,,
2016,괴산고추축제,충청남도,6,,,,,,,,
2016,괴산고추축제,대전광역시,,,,,,,,,
2016,괴산고추축제,전라북도,,,,,,,,,
2016,괴산고추축제,충청북도,90,,,,,,,,
2016,괴산고추축제,대구광역시,,,,,,,,,
2016,괴산고추축제,부산광역시,46,,,,,,,,
2016,괴산고추축제,경상북도,49,,,,,,,,
2016,괴산고추축제,경기도,39,,,,,,,,
2016,괴산고추축제,서울특별시,43,,,,,,,,
2016,괴산고추축제,경상남도,,,,,,,,,
2017,괴산고추축제,충청남도,6,,,,,,,,
2017,괴산고추축제,대전광역시,,,,,,,,,
2017,괴산고추축제,전라북도,,,,,,,,,
2017,괴산고추축제,충청북도,90,,,,,,,,
2017,괴산고추축제,대구광역시,,,,,,,,,
2017,괴산고추축제,부산광역시,46,,,,,,,,
2017,괴산고추축제,경상북도,49,,,,,,,,
2017,괴산고추축제,경기도,39,,,,,,,,
2017,괴산고추축제,서울특별시,43,,,,,,,,
2017,괴산고추축제,경상남도,,,,,,,,,
2018,괴산고추축제,충청남도,6,,,,,,,,
2018,괴산고추축제,대전광역시,,,,,,,,,
2018,괴산고추축제,전라북도,,,,,,,,,
2018,괴산고추축제,충청북도,90,,,,,,,,
2018,괴산고추축제,대구광역시,,,,,,,,,
2018,괴산고추축제,부산광역시,46,,,,,,,,
2018,괴산고추축제,경상북도,49,,,,,,,,
2018,괴산고추축제,경기도,39,,,,,,,,
2018,괴산고추축제,서울특별시,43,,,,,,,,
2018,괴산고추축제,경상남도,,,,,,,,,
2019,괴산고추축제,충청남도,6,,,,,,,,
2019,괴산고추축제,대전광역시,,,,,,,,,
2019,괴산고추축제,전라북도,,,,,,,,,
2019,괴산고추축제,충청북도,90,,,,,,,,
2019,괴산고추축제,대구광역시,,,,,,,,,
2019,괴산고추축제,부산광역시,46,,,,,,,,
2019,괴산고추축제,경상북도,49,,,,,,,,
2019,괴산고추축제,경기도,39,,,,,,,,
2019,괴산고추축제,서울특별시,43,,,,,,,,
2019,괴산고추축제,경상남도,,,,,,,,,
2020,괴산고추축제,충청남도,6,,,,,,,,
2020,괴산고추축제,대전광역시,,,,,,,,,
2020,괴산고추축제,전라북도,,,,,,,,,
2020,괴산고추축제,충청북도,90,,,,,,,,
2020,괴산고추축제,대구광역시,,,,,,,,,
2020,괴산고추축제,부산광역시,46,,,,,,,,
2020,괴산고추축제,경상북도,49,,,,,,,,
2020,괴산고추축제,경기도,39,,,,,,,,
2020,괴산고추축제,서울특별시,43,,,,,,,,
2020,괴산고추축제,경상남도,,,,,,,,,
2021,괴산고추축제,충청남도,6,,,,,,,,
2021,괴산고추축제,대전광역시,,,,,,,,,
2021,괴산고추축제,전라북도,,,,,,,,,
2021,괴산고추축제,충청북도,90,,,,,,,,
2021,괴산고추축제,대구광역시,,,,,,,,,
2021,괴산고추축제,부산광역시,46,,,,,,,,
2021,괴산고추축제,경상북도,49,,,,,,,,
2021,괴산고추축제,경기도,39,,,,,,,,
2021,괴산고추축제,서울특별시,43,,,,,,,,
2021,괴산고추축제,경상남도,,,,,,,,,
2022,괴산고추축제,충청남도,6,,,,,,,,
2022,괴산고추축제,대전광역시,,,,,,,,,
2022,괴산고추축제,전라북도,,,,,,,,,
2022,괴산고추축제,충청북도,90,,,,,,,,
2022,괴산고추축제,대구광역시,,,,,,,,,
2022,괴산고추축제,부산광역시,46,,,,,,,,
2022,괴산고추축제,경상북도,49,,,,,,,,
2022,괴산고추축제,경기도,39,,,,,,,,
2022,괴산고추축제,서울특별시,43,,,,,,,,
2022,괴산고추축제,경상남도,,,,,,,,,
2023,괴산고추축제,충청남도,6,,,,,,,,
2023,괴산고추축제,대전광역시,,,,,,,,,
2023,괴산고추축제,전라북도,,,,,,,,,
2023,괴산고추축제,충청북도,90,,,,,,,,
2023,괴산고추축제,대구광역시,,,,,,,,,
2023,괴산고추축제,부산광역시,46,,,,,,,,
2023,괴산고추축제,경상북도,49,,,,,,,,
2023,괴산고추축제,경기도,39,,,,,,,,
2023,괴산고추축제,서울특별시,43,,,,,,,,
2023,괴산고추축제,경상남도,,,,,,,,,
2024,괴산고추축제,충청남도,6,,,,,,,,
2024,괴산고추축제,대전광역시,,,,,,,,,
2024,괴산고추축제,전라북도,,,,,,,,,
2024,괴산고추축제,충청북도,90,,,,,,,,
2024,괴산고추축제,대구광역시,,,,,,,,,
2024,괴산고추축제,부산광역시,46,,,,,,,,
2024,괴산고추축제,경상북도,49,,,,,,,,
2024,괴산고추축제,경기도,39,,,,,,,,
2024,괴산고추축제,서울특별시,43,,,,,,,,
2024,괴산고추축제,경상남도,,,,,,,,,
2004,해미읍성축제,충청남도,47,,,,,,,,
2004,해미읍성축제,대전광역시,20,,,,,,,,
2004,해미읍성축제,전라북도,,,,,,,,,
2004,해미읍성축제,충청북도,,,,,,,,,
2004,해미읍성축제,대구광역시,,,,,,,,,
2004,해미읍성축제,부산광역시,,,,,,,,,
2004,해미읍성축제,경상북도,,,,,,,,,
2004,해미읍성축제,경기도,16,,,,,,,,
2004,해미읍성축제,서울특별시,15,,,,,,,,
2004,해미읍성축제,경상남도,,,,,,,,,
2005,해미읍성축제,충청남도,47,,,,,,,,
2005,해미읍성축제,대전광역시,20,,,,,,,,
2005,해미읍성축제,전라북도,,,,,,,,,
2005,해미읍성축제,충청북도,,,,,,,,,
2005,해미읍성축제,대구광역시,,,,,,,,,
2005,해미읍성축제,부산광역시,,,,,,,,,
2005,해미읍성축제,경상북도,,,,,,,,,
2005,해미읍성축제,경기도,16,,,,,,,,
2005,해미읍성축제,서울특별시,15,,,,,,,,
2005,해미읍성축제,경상남도,,,,,,,,,
2006,해미읍성축제,충청남도,47,,,,,,,,
2006,해미읍성축제,대전광역시,20,,,,,,,,
2006,해미읍성축제,전라북도,,,,,,,,,
2006,해미읍성축제,충청북도,,,,,,,,,
2006,해미읍성축제,대구광역시,,,,,,,,,
2006,해미읍성축제,부산광역시,,,,,,,,,
2006,해미읍성축제,경상북도,,,,,,,,,
2006,해미읍성축제,경기도,16,,,,,,,,
2006,해미읍성축제,서울특별시,15,,,,,,,,
2006,해미읍성축제,경상남도,,,,,,,,,
2007,해미읍성축제,충청남도,47,,,,,,,,
2007,해미읍성축제,대전광역시,20,,,,,,,,
2007,해미읍성축제,전라북도,,,,,,,,,
2007,해미읍성축제,충청북도,,,,,,,,,
2007,해미읍성축제,대구광역시,,,,,,,,,
2007,해미읍성축제,부산광역시,,,,,,,,,
2007,해미읍성축제,경상북도,,,,,,,,,
2007,해미읍성축제,경기도,16,,,,,,,,
2007,해미읍성축제,서울특별시,15,,,,,,,,
2007,해미읍성축제,경상남도,,,,,,,,,
2008,해미읍성축제,충청남도,47,,,,,,,,
2008,해미읍성축제,대전광역시,20,,,,,,,,
2008,해미읍성축제,전라북도,,,,,,,,,
2008,해미읍성축제,충청북도,,,,,,,,,
2008,해미읍성축제,대구광역시,,,,,,,,,
2008,해미읍성축제,부산광역시,,,,,,,,,
2008,해미읍성축제,경상북도,,,,,,,,,
2008,해미읍성축제,경기도,16,,,,,,,,
2008,해미읍성축제,서울특별시,15,,,,,,,,
2008,해미읍성축제,경상남도,,,,,,,,,
2009,해미읍성축제,충청남도,47,,,,,,,,
2009,해미읍성축제,대전광역시,20,,,,,,,,
2009,해미읍성축제,전라북도,,,,,,,,,
2009,해미읍성축제,충청북도,,,,,,,,,
2009,해미읍성축제,대구광역시,,,,,,,,,
2009,해미읍성축제,부산광역시,,,,,,,,,
2009,해미읍성축제,경상북도,,,,,,,,,
2009,해미읍성축제,경기도,16,,,,,,,,
2009,해미읍성축제,서울특별시,15,,,,,,,,
2009,해미읍성축제,경상남도,,,,,,,,,
2010,해미읍성축제,충청남도,47,,,,,,,,
2010,해미읍성축제,대전광역시,20,,,,,,,,
2010,해미읍성축제,전라북도,,,,,,,,,
2010,해미읍성축제,충청북도,,,,,,,,,
2010,해미읍성축제,대구광역시,,,,,,,,,
2010,해미읍성축제,부산광역시,,,,,,,,,
2010,해미읍성축제,경상북도,,,,,,,,,
2010,해미읍성축제,경기도,16,,,,,,,,
2010,해미읍성축제,서울특별시,15,,,,,,,,
2010,해미읍성축제,경상남도,,,,,,,,,
2011,해미읍성축제,충청남도,47,,,,,,,,
2011,해미읍성축제,대전광역시,20,,,,,,,,
2011,해미읍성축제,전라북도,,,,,,,,,
2011,해미읍성축제,충청북도,,,,,,,,,
2011,해미읍성축제,대구광역시,,,,,,,,,
2011,해미읍성축제,부산광역시,,,,,,,,,
2011,해미읍성축제,경상북도,,,,,,,,,
2011,해미읍성축제,경기도,16,,,,,,,,
2011,해미읍성축제,서울특별시,15,,,,,,,,
2011,해미읍성축제,경상남도,,,,,,,,,
2012,해미읍성축제,충청남도,47,,,,,,,,
2012,해미읍성축제,대전광역시,20,,,,,,,,
2012,해미읍성축제,전라북도,,,,,,,,,
2012,해미읍성축제,충청북도,,,,,,,,,
2012,해미읍성축제,대구광역시,,,,,,,,,
2012,해미읍성축제,부산광역시,,,,,,,,,
2012,해미읍성축제,경상북도,,,,,,,,,
2012,해미읍성축제,경기도,16,,,,,,,,
2012,해미읍성축제,서울특별시,15,,,,,,,,
2012,해미읍성축제,경상남도,,,,,,,,,
2013,해미읍성축제,충청남도,47,,,,,,,,
2013,해미읍성축제,대전광역시,20,,,,,,,,
2013,해미읍성축제,전라북도,,,,,,,,,
2013,해미읍성축제,충청북도,,,,,,,,,
2013,해미읍성축제,대구광역시,,,,,,,,,
2013,해미읍성축제,부산광역시,,,,,,,,,
2013,해미읍성축제,경상북도,,,,,,,,,
2013,해미읍성축제,경기도,16,,,,,,,,
2013,해미읍성축제,서울특별시,15,,,,,,,,
2013,해미읍성축제,경상남도,,,,,,,,,
2014,해미읍성축제,충청남도,47,,,,,,,,
2014,해미읍성축제,대전광역시,20,,,,,,,,
2014,해미읍성축제,전라북도,,,,,,,,,
2014,해미읍성축제,충청북도,,,,,,,,,
2014,해미읍성축제,대구광역시,,,,,,,,,
2014,해미읍성축제,부산광역시,,,,,,,,,
