기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
괴산군,기타관광,463759,3.0,72094,15.5
괴산군,레저스포츠,463759,3.0,8744,1.9
괴산군,문화관광,463759,3.0,51483,11.1
괴산군,쇼핑,463759,3.0,15349,3.3
괴산군,숙박,463759,3.0,91563,19.7
괴산군,역사관광,463759,3.0,14352,3.1
괴산군,음식,463759,3.0,131114,28.3
괴산군,자연관광,463759,3.0,75777,16.3
괴산군,체험관광,463759,3.0,3283,0.7
단양군,기타관광,934365,6.1,150784,16.1
단양군,레저스포츠,934365,6.1,45937,4.9
단양군,문화관광,934365,6.1,132935,14.2
단양군,쇼핑,934365,6.1,98822,10.6
단양군,숙박,934365,6.1,173268,18.5
단양군,역사관광,934365,6.1,57022,6.1
단양군,음식,934365,6.1,210971,22.6
단양군,자연관광,934365,6.1,64562,6.9
단양군,체험관광,934365,6.1,64,0.0
보은군,기타관광,335900,2.2,19022,5.7
보은군,레저스포츠,335900,2.2,46215,13.8
보은군,문화관광,335900,2.2,42853,12.8
보은군,쇼핑,335900,2.2,3708,1.1
보은군,숙박,335900,2.2,44685,13.3
보은군,역사관광,335900,2.2,57214,17.0
보은군,음식,335900,2.2,100595,29.9
보은군,자연관광,335900,2.2,21484,6.4
보은군,체험관광,335900,2.2,124,0.0
영동군,기타관광,240137,1.6,49479,20.6
영동군,레저스포츠,240137,1.6,27911,11.6
영동군,문화관광,240137,1.6,14915,6.2
영동군,쇼핑,240137,1.6,4850,2.0
영동군,숙박,240137,1.6,21716,9.0
영동군,역사관광,240137,1.6,14462,6.0
영동군,음식,240137,1.6,74149,30.9
영동군,자연관광,240137,1.6,32185,13.4
영동군,체험관광,240137,1.6,470,0.2
옥천군,기타관광,339894,2.2,50480,14.9
옥천군,레저스포츠,339894,2.2,7603,2.2
옥천군,문화관광,339894,2.2,45940,13.5
옥천군,쇼핑,339894,2.2,1286,0.4
옥천군,숙박,339894,2.2,22096,6.5
옥천군,역사관광,339894,2.2,17804,5.2
옥천군,음식,339894,2.2,168210,49.5
옥천군,자연관광,339894,2.2,19160,5.6
옥천군,체험관광,339894,2.2,7315,2.2
음성군,기타관광,1032661,6.7,69332,6.7
음성군,레저스포츠,1032661,6.7,310494,30.1
음성군,문화관광,1032661,6.7,42330,4.1
음성군,쇼핑,1032661,6.7,25171,2.4
음성군,숙박,1032661,6.7,62727,6.1
음성군,역사관광,1032661,6.7,14778,1.4
음성군,음식,1032661,6.7,484886,47.0
음성군,자연관광,1032661,6.7,22007,2.1
음성군,체험관광,1032661,6.7,936,0.1
제천시,기타관광,1568913,10.2,218634,13.9
제천시,레저스포츠,1568913,10.2,88401,5.6
제천시,문화관광,1568913,10.2,76503,4.9
제천시,쇼핑,1568913,10.2,43312,2.8
제천시,숙박,1568913,10.2,330707,21.1
제천시,역사관광,1568913,10.2,44610,2.8
제천시,음식,1568913,10.2,656661,41.9
제천시,자연관광,1568913,10.2,101693,6.5
제천시,체험관광,1568913,10.2,8392,0.5
증평군,기타관광,319648,2.1,34532,10.8
증평군,레저스포츠,319648,2.1,45082,14.1
증평군,문화관광,319648,2.1,17100,5.3
